slug,coach,coach_id,ending,total_games,total_wins,total_losses,start_rating,end_rating,improvement,top,bottom,middle,last_improvement
brownla01c|03|05|DET,Larry Brown,brownla01c,fired,164.0,108.0,56.0,1537.6965,1612.8612,75.1647,1684.1008,1537.6965,1593.6044,-53.0369
saundfl99c|05|08|DET,Flip Saunders,saundfl99c,fired,246.0,176.0,70.0,1648.1444,1652.2416,4.0972,1743.0873,1554.7963,1651.82015,34.9103
currymi01c|08|09|DET,Michael Curry,currymi01c,fired,82.0,39.0,43.0,1614.9929,1482.2754,-132.7175,1644.7262,1458.3712,1523.8296,-132.7175
kuestjo01c|09|11|DET,John Kuester,kuestjo01c,fired,164.0,57.0,107.0,1493.4908,1396.1702,-97.3206,1493.4908,1304.4897,1384.0755,9.281
frankla99c|11|13|DET,Lawrence Frank,frankla99c,fired,148.0,54.0,94.0,1417.2306,1372.494,-44.7366,1460.7504,1315.127,1399.6486,-47.6601
cheekma01c|13|14|DET,Maurice Cheeks,cheekma01c,fired,50.0,21.0,29.0,1414.9327,1411.3859,-3.5468,1477.7844,1380.4509,1413.62955,-3.5468
loyerjo99c|14|14|DET,John Loyer,loyerjo99c,interim only,32.0,8.0,24.0,1426.5536,1350.7325,-75.8211,1426.5536,1347.1415,1378.74215,-75.8211
vangust99c|14|17|DET,Stan Van Gundy,vangust99c,,274.0,128.0,146.0,1384.6356,1483.81046948,99.17486948,1587.83970629,1292.5706,1487.12257091,18.81780682
cowenda01c|00|01|GSW,Dave Cowens,cowenda01c,fired,105.0,25.0,80.0,1354.5343,1327.163,-27.3713,1389.1722,1218.1012,1337.4308,38.6692
wintebr01c|01|02|GSW,Brian Winters,wintebr01c,interim only,59.0,13.0,46.0,1334.3229,1320.8221,-13.5008,1379.8127,1285.045,1328.7627,-13.5008
musseer99c|02|04|GSW,Eric Musselman,musseer99c,fired,164.0,75.0,89.0,1382.5889,1499.526,116.9371,1510.3424,1360.152,1469.72835,40.0222
montgmi99c|04|06|GSW,Mike Montgomery,montgmi99c,fired,164.0,68.0,96.0,1493.538,1447.2098,-46.3282,1535.942,1352.4832,1450.49205,-77.7807
nelsodo01c|06|10|GSW,Don Nelson,nelsodo01c,fired,328.0,145.0,183.0,1449.9508,1408.7064,-41.2444,1623.097,1346.3766,1453.9951,-27.3157
