franchise,team,year,coaches_text,coach,coach_id,wins,losses,games,order
PHI,PHI,2009,"M. Cheeks (9-14), T. DiLeo (32-27)",T. DiLeo,dileoto99c,32,27,59,2
PHI,PHI,2009,"M. Cheeks (9-14), T. DiLeo (32-27)",M. Cheeks,cheekma01c,9,14,23,1
PHI,PHI,2008,M. Cheeks (40-42),M. Cheeks,cheekma01c,40,42,82,1
PHI,PHI,2007,M. Cheeks (35-47),M. Cheeks,cheekma01c,35,47,82,1
PHI,PHI,2006,M. Cheeks (38-44),M. Cheeks,cheekma01c,38,44,82,1
PHI,PHI,2005,J. O'Brien (43-39),J. O'Brien,obrieji99c,43,39,82,1
PHI,PHI,2004,"R. Ayers (21-31), C. Ford (12-18)",C. Ford,fordch01c,12,18,30,2
PHI,PHI,2004,"R. Ayers (21-31), C. Ford (12-18)",R. Ayers,ayersra99c,21,31,52,1
PHI,PHI,2003,L. Brown (48-34),L. Brown,brownla01c,48,34,82,1
PHI,PHI,2002,L. Brown (43-39),L. Brown,brownla01c,43,39,82,1
PHI,PHI,2001,L. Brown (56-26),L. Brown,brownla01c,56,26,82,1
PHO,PHO,2018,"E. Watson (0-3), J. Triano (9-18)",J. Triano,trianja99c,9,18,27,2
PHO,PHO,2018,"E. Watson (0-3), J. Triano (9-18)",E. Watson,watsoea01c,0,3,3,1
PHO,PHO,2017,E. Watson (24-58),E. Watson,watsoea01c,24,58,82,1
PHO,PHO,2016,"J. Hornacek (14-35), E. Watson (9-24)",E. Watson,watsoea01c,9,24,33,2
PHO,PHO,2016,"J. Hornacek (14-35), E. Watson (9-24)",J. Hornacek,hornaje01c,14,35,49,1
PHO,PHO,2015,J. Hornacek (39-43),J. Hornacek,hornaje01c,39,43,82,1
PHO,PHO,2014,J. Hornacek (48-34),J. Hornacek,hornaje01c,48,34,82,1
PHO,PHO,2013,"A. Gentry (13-28), L. Hunter (12-29)",L. Hunter,hunteli01c,12,29,41,2
PHO,PHO,2013,"A. Gentry (13-28), L. Hunter (12-29)",A. Gentry,gentral99c,13,28,41,1
PHO,PHO,2012,A. Gentry (33-33),A. Gentry,gentral99c,33,33,66,1
PHO,PHO,2011,A. Gentry (40-42),A. Gentry,gentral99c,40,42,82,1
PHO,PHO,2010,A. Gentry (54-28),A. Gentry,gentral99c,54,28,82,1
PHO,PHO,2009,"T. Porter (28-23), A. Gentry (18-13)",A. Gentry,gentral99c,18,13,31,2
PHO,PHO,2009,"T. Porter (28-23), A. Gentry (18-13)",T. Porter,portete01c,28,23,51,1
PHO,PHO,2008,M. D'Antoni (55-27),M. D'Antoni,dantomi01c,55,27,82,1
PHO,PHO,2007,M. D'Antoni (61-21),M. D'Antoni,dantomi01c,61,21,82,1
PHO,PHO,2006,M. D'Antoni (54-28),M. D'Antoni,dantomi01c,54,28,82,1
PHO,PHO,2005,M. D'Antoni (62-20),M. D'Antoni,dantomi01c,62,20,82,1
PHO,PHO,2004,"F. Johnson (8-13), M. D'Antoni (21-40)",M. D'Antoni,dantomi01c,21,40,61,2
PHO,PHO,2004,"F. Johnson (8-13), M. D'Antoni (21-40)",F. Johnson,johnsfr01c,8,13,21,1
PHO,PHO,2003,F. Johnson (44-38),F. Johnson,johnsfr01c,44,38,82,1
PHO,PHO,2002,"S. Skiles (25-26), F. Johnson (11-20)",F. Johnson,johnsfr01c,11,20,31,2
PHO,PHO,2002,"S. Skiles (25-26), F. Johnson (11-20)",S. Skiles,skilesc01c,25,26,51,1
PHO,PHO,2001,S. Skiles (51-31),S. Skiles,skilesc01c,51,31,82,1
POR,POR,2018,T. Stotts (14-13),T. Stotts,stottte99c,14,13,27,1
POR,POR,2017,T. Stotts (41-41),T. Stotts,stottte99c,41,41,82,1
POR,POR,2016,T. Stotts (44-38),T. Stotts,stottte99c,44,38,82,1
POR,POR,2015,T. Stotts (51-31),T. Stotts,stottte99c,51,31,82,1
POR,POR,2014,T. Stotts (54-28),T. Stotts,stottte99c,54,28,82,1
POR,POR,2013,T. Stotts (33-49),T. Stotts,stottte99c,33,49,82,1
POR,POR,2012,"N. McMillan (20-23), K. Canales (8-15)",K. Canales,canalka99c,8,15,23,2
POR,POR,2012,"N. McMillan (20-23), K. Canales (8-15)",N. McMillan,mcmilna01c,20,23,43,1
POR,POR,2011,N. McMillan (48-34),N. McMillan,mcmilna01c,48,34,82,1
POR,POR,2010,N. McMillan (50-32),N. McMillan,mcmilna01c,50,32,82,1
POR,POR,2009,N. McMillan (54-28),N. McMillan,mcmilna01c,54,28,82,1
POR,POR,2008,N. McMillan (41-41),N. McMillan,mcmilna01c,41,41,82,1
POR,POR,2007,N. McMillan (32-50),N. McMillan,mcmilna01c,32,50,82,1
POR,POR,2006,N. McMillan (21-61),N. McMillan,mcmilna01c,21,61,82,1
POR,POR,2005,"M. Cheeks (22-33), K. Pritchard (5-22)",K. Pritchard,pritcke01c,5,22,27,2
POR,POR,2005,"M. Cheeks (22-33), K. Pritchard (5-22)",M. Cheeks,cheekma01c,22,33,55,1
POR,POR,2004,M. Cheeks (41-41),M. Cheeks,cheekma01c,41,41,82,1
POR,POR,2003,M. Cheeks (50-32),M. Cheeks,cheekma01c,50,32,82,1
POR,POR,2002,M. Cheeks (49-33),M. Cheeks,cheekma01c,49,33,82,1
POR,POR,2001,M. Dunleavy (50-32),M. Dunleavy,dunlemi01c,50,32,82,1
SAC,SAC,2018,D. Joerger (9-19),D. Joerger,joergda99c,9,19,28,1
SAC,SAC,2017,D. Joerger (32-50),D. Joerger,joergda99c,32,50,82,1
SAC,SAC,2016,G. Karl (33-49),G. Karl,karlge01c,33,49,82,1
SAC,SAC,2015,"M. Malone (11-13), T. Corbin (7-21), G. Karl (11-19)",G. Karl,karlge01c,11,19,30,3
SAC,SAC,2015,"M. Malone (11-13), T. Corbin (7-21), G. Karl (11-19)",T. Corbin,corbity01c,7,21,28,2
SAC,SAC,2015,"M. Malone (11-13), T. Corbin (7-21), G. Karl (11-19)",M. Malone,malonmi99c,11,13,24,1
SAC,SAC,2014,M. Malone (28-54),M. Malone,malonmi99c,28,54,82,1
SAC,SAC,2013,K. Smart (28-54),K. Smart,smartke01c,28,54,82,1
SAC,SAC,2012,"P. Westphal (2-5), K. Smart (20-39)",K. Smart,smartke01c,20,39,59,2
SAC,SAC,2012,"P. Westphal (2-5), K. Smart (20-39)",P. Westphal,westppa01c,2,5,7,1
SAC,SAC,2011,P. Westphal (24-58),P. Westphal,westppa01c,24,58,82,1
SAC,SAC,2010,P. Westphal (25-57),P. Westphal,westppa01c,25,57,82,1
SAC,SAC,2009,"R. Theus (6-18), K. Natt (11-47)",K. Natt,nattke01c,11,47,58,2
