franchise,team,year,coaches_text,coach,coach_id,wins,losses,games,order
NJNBRK,NJN,2010,"L. Frank (0-16), T. Barrise (0-2), K. Vandeweghe (12-52)",L. Frank,frankla99c,0,16,16,1
NJNBRK,NJN,2009,L. Frank (34-48),L. Frank,frankla99c,34,48,82,1
NJNBRK,NJN,2008,L. Frank (34-48),L. Frank,frankla99c,34,48,82,1
NJNBRK,NJN,2007,L. Frank (41-41),L. Frank,frankla99c,41,41,82,1
NJNBRK,NJN,2006,L. Frank (49-33),L. Frank,frankla99c,49,33,82,1
NJNBRK,NJN,2005,L. Frank (42-40),L. Frank,frankla99c,42,40,82,1
NJNBRK,NJN,2004,"B. Scott (22-20), L. Frank (25-15)",L. Frank,frankla99c,25,15,40,2
NJNBRK,NJN,2004,"B. Scott (22-20), L. Frank (25-15)",B. Scott,scottby01c,22,20,42,1
NJNBRK,NJN,2003,B. Scott (49-33),B. Scott,scottby01c,49,33,82,1
NJNBRK,NJN,2002,B. Scott (52-30),B. Scott,scottby01c,52,30,82,1
NJNBRK,NJN,2001,B. Scott (26-56),B. Scott,scottby01c,26,56,82,1
CHI,CHI,2018,F. Hoiberg (7-20),F. Hoiberg,hoibefr99c,7,20,27,1
CHI,CHI,2017,F. Hoiberg (41-41),F. Hoiberg,hoibefr99c,41,41,82,1
CHI,CHI,2016,F. Hoiberg (42-40),F. Hoiberg,hoibefr99c,42,40,82,1
CHI,CHI,2015,T. Thibodeau (50-32),T. Thibodeau,thiboto99c,50,32,82,1
CHI,CHI,2014,T. Thibodeau (48-34),T. Thibodeau,thiboto99c,48,34,82,1
CHI,CHI,2013,T. Thibodeau (45-37),T. Thibodeau,thiboto99c,45,37,82,1
CHI,CHI,2012,T. Thibodeau (50-16),T. Thibodeau,thiboto99c,50,16,66,1
CHI,CHI,2011,T. Thibodeau (62-20),T. Thibodeau,thiboto99c,62,20,82,1
CHI,CHI,2010,V. Del Negro (41-41),V. Del Negro,delnevi01c,41,41,82,1
CHI,CHI,2009,V. Del Negro (41-41),V. Del Negro,delnevi01c,41,41,82,1
CHI,CHI,2008,"S. Skiles (9-16), P. Myers (0-1), J. Boylan (24-32)",J. Boylan,boylaji99c,24,32,56,3
CHI,CHI,2008,"S. Skiles (9-16), P. Myers (0-1), J. Boylan (24-32)",P. Myers,myerspe01c,0,1,1,2
CHI,CHI,2008,"S. Skiles (9-16), P. Myers (0-1), J. Boylan (24-32)",S. Skiles,skilesc01c,9,16,25,1
CHI,CHI,2007,S. Skiles (49-33),S. Skiles,skilesc01c,49,33,82,1
CHI,CHI,2006,S. Skiles (41-41),S. Skiles,skilesc01c,41,41,82,1
CHI,CHI,2005,S. Skiles (47-35),S. Skiles,skilesc01c,47,35,82,1
CHI,CHI,2004,"B. Cartwright (4-10), P. Myers (0-2), S. Skiles (19-47)",S. Skiles,skilesc01c,19,47,66,3
CHI,CHI,2004,"B. Cartwright (4-10), P. Myers (0-2), S. Skiles (19-47)",P. Myers,myerspe01c,0,2,2,2
CHI,CHI,2004,"B. Cartwright (4-10), P. Myers (0-2), S. Skiles (19-47)",B. Cartwright,cartwbi01c,4,10,14,1
CHI,CHI,2003,B. Cartwright (30-52),B. Cartwright,cartwbi01c,30,52,82,1
CHI,CHI,2002,"T. Floyd (4-21), B. Berry (0-2), B. Cartwright (17-38)",B. Cartwright,cartwbi01c,17,38,55,3
CHI,CHI,2002,"T. Floyd (4-21), B. Berry (0-2), B. Cartwright (17-38)",B. Berry,berrybi99c,0,2,2,2
CHI,CHI,2002,"T. Floyd (4-21), B. Berry (0-2), B. Cartwright (17-38)",T. Floyd,floydti99c,4,21,25,1
CHI,CHI,2001,T. Floyd (15-67),T. Floyd,floydti99c,15,67,82,1
CHARBH,CHO,2018,S. Clifford (10-17),S. Clifford,cliffst99c,10,17,27,1
CHARBH,CHO,2017,S. Clifford (36-46),S. Clifford,cliffst99c,36,46,82,1
CHARBH,CHO,2016,S. Clifford (48-34),S. Clifford,cliffst99c,48,34,82,1
CHARBH,CHO,2015,S. Clifford (33-49),S. Clifford,cliffst99c,33,49,82,1
CHARBH,CHA,2014,S. Clifford (43-39),S. Clifford,cliffst99c,43,39,82,1
CHARBH,CHA,2013,M. Dunlap (21-61),M. Dunlap,dunlami99c,21,61,82,1
CHARBH,CHA,2012,P. Silas (7-59),P. Silas,silaspa01c,7,59,66,1
CHARBH,CHA,2011,"L. Brown (9-19), P. Silas (25-29)",P. Silas,silaspa01c,25,29,54,2
CHARBH,CHA,2011,"L. Brown (9-19), P. Silas (25-29)",L. Brown,brownla01c,9,19,28,1
CHARBH,CHA,2010,L. Brown (44-38),L. Brown,brownla01c,44,38,82,1
CHARBH,CHA,2009,L. Brown (35-47),L. Brown,brownla01c,35,47,82,1
CHARBH,CHA,2008,S. Vincent (32-50),S. Vincent,vincesa01c,32,50,82,1
CHARBH,CHA,2007,B. Bickerstaff (33-49),B. Bickerstaff,bickebe99c,33,49,82,1
CHARBH,CHA,2006,B. Bickerstaff (26-56),B. Bickerstaff,bickebe99c,26,56,82,1
CHARBH,CHA,2005,B. Bickerstaff (18-64),B. Bickerstaff,bickebe99c,18,64,82,1
NORLHP,CHH,2002,P. Silas (44-38),P. Silas,silaspa01c,44,38,82,1
NORLHP,CHH,2001,P. Silas (46-36),P. Silas,silaspa01c,46,36,82,1
CLE,CLE,2018,T. Lue (21-8),T. Lue,luety01c,21,8,29,1
CLE,CLE,2017,T. Lue (51-31),T. Lue,luety01c,51,31,82,1
CLE,CLE,2016,"D. Blatt (30-11), T. Lue (27-14)",T. Lue,luety01c,27,14,41,2
CLE,CLE,2016,"D. Blatt (30-11), T. Lue (27-14)",D. Blatt,blattda99c,30,11,41,1
CLE,CLE,2015,D. Blatt (53-29),D. Blatt,blattda99c,53,29,82,1
CLE,CLE,2014,M. Brown (33-49),M. Brown,brownmi99c,33,49,82,1
CLE,CLE,2013,B. Scott (24-58),B. Scott,scottby01c,24,58,82,1
CLE,CLE,2012,B. Scott (21-45),B. Scott,scottby01c,21,45,66,1
CLE,CLE,2011,B. Scott (19-63),B. Scott,scottby01c,19,63,82,1
CLE,CLE,2010,M. Brown (61-21),M. Brown,brownmi99c,61,21,82,1
CLE,CLE,2009,M. Brown (66-16),M. Brown,brownmi99c,66,16,82,1
CLE,CLE,2008,M. Brown (45-37),M. Brown,brownmi99c,45,37,82,1
CLE,CLE,2007,M. Brown (50-32),M. Brown,brownmi99c,50,32,82,1
CLE,CLE,2006,M. Brown (50-32),M. Brown,brownmi99c,50,32,82,1
CLE,CLE,2005,"P. Silas (34-30), B. Malone (8-10)",B. Malone,malonbr99c,8,10,18,2
CLE,CLE,2005,"P. Silas (34-30), B. Malone (8-10)",P. Silas,silaspa01c,34,30,64,1
CLE,CLE,2004,P. Silas (35-47),P. Silas,silaspa01c,35,47,82,1
CLE,CLE,2003,"J. Lucas (8-34), K. Smart (9-31)",K. Smart,smartke01c,9,31,40,2
CLE,CLE,2003,"J. Lucas (8-34), K. Smart (9-31)",J. Lucas,lucasjo01c,8,34,42,1
CLE,CLE,2002,J. Lucas (29-53),J. Lucas,lucasjo01c,29,53,82,1
CLE,CLE,2001,R. Wittman (30-52),R. Wittman,wittmra01c,30,52,82,1
DAL,DAL,2018,R. Carlisle (8-21),R. Carlisle,carliri01c,8,21,29,1
DAL,DAL,2017,R. Carlisle (33-49),R. Carlisle,carliri01c,33,49,82,1
DAL,DAL,2016,R. Carlisle (42-40),R. Carlisle,carliri01c,42,40,82,1
DAL,DAL,2015,R. Carlisle (50-32),R. Carlisle,carliri01c,50,32,82,1
DAL,DAL,2014,R. Carlisle (49-33),R. Carlisle,carliri01c,49,33,82,1
DAL,DAL,2013,R. Carlisle (41-41),R. Carlisle,carliri01c,41,41,82,1
DAL,DAL,2012,R. Carlisle (36-30),R. Carlisle,carliri01c,36,30,66,1
DAL,DAL,2011,R. Carlisle (57-25),R. Carlisle,carliri01c,57,25,82,1
DAL,DAL,2010,R. Carlisle (55-27),R. Carlisle,carliri01c,55,27,82,1
DAL,DAL,2009,R. Carlisle (50-32),R. Carlisle,carliri01c,50,32,82,1
DAL,DAL,2008,A. Johnson (51-31),A. Johnson,johnsav01c,51,31,82,1
DAL,DAL,2007,A. Johnson (67-15),A. Johnson,johnsav01c,67,15,82,1
DAL,DAL,2006,A. Johnson (60-22),A. Johnson,johnsav01c,60,22,82,1
DAL,DAL,2005,"D. Nelson (42-22), A. Johnson (16-2)",A. Johnson,johnsav01c,16,2,18,2
DAL,DAL,2005,"D. Nelson (42-22), A. Johnson (16-2)",D. Nelson,nelsodo01c,42,22,64,1
DAL,DAL,2004,D. Nelson (52-30),D. Nelson,nelsodo01c,52,30,82,1
DAL,DAL,2003,D. Nelson (60-22),D. Nelson,nelsodo01c,60,22,82,1
DAL,DAL,2002,D. Nelson (57-25),D. Nelson,nelsodo01c,57,25,82,1
DAL,DAL,2001,D. Nelson (53-29),D. Nelson,nelsodo01c,53,29,82,1
DEN,DEN,2018,M. Malone (15-13),M. Malone,malonmi99c,15,13,28,1
DEN,DEN,2017,M. Malone (40-42),M. Malone,malonmi99c,40,42,82,1
DEN,DEN,2016,M. Malone (33-49),M. Malone,malonmi99c,33,49,82,1
DEN,DEN,2015,"B. Shaw (20-39), M. Hunt (10-13)",M. Hunt,huntme01c,10,13,23,2
DEN,DEN,2015,"B. Shaw (20-39), M. Hunt (10-13)",B. Shaw,shawbr01c,20,39,59,1
DEN,DEN,2014,B. Shaw (36-46),B. Shaw,shawbr01c,36,46,82,1
DEN,DEN,2013,G. Karl (57-25),G. Karl,karlge01c,57,25,82,1
DEN,DEN,2012,G. Karl (38-28),G. Karl,karlge01c,38,28,66,1
DEN,DEN,2011,G. Karl (50-32),G. Karl,karlge01c,50,32,82,1
DEN,DEN,2010,G. Karl (53-29),G. Karl,karlge01c,53,29,82,1
DEN,DEN,2009,G. Karl (54-28),G. Karl,karlge01c,54,28,82,1
DEN,DEN,2008,G. Karl (50-32),G. Karl,karlge01c,50,32,82,1
DEN,DEN,2007,G. Karl (45-37),G. Karl,karlge01c,45,37,82,1
DEN,DEN,2006,G. Karl (44-38),G. Karl,karlge01c,44,38,82,1
DEN,DEN,2005,"J. Bzdelik (13-15), M. Cooper (4-10), G. Karl (32-8)",G. Karl,karlge01c,32,8,40,3
DEN,DEN,2005,"J. Bzdelik (13-15), M. Cooper (4-10), G. Karl (32-8)",M. Cooper,coopemi01c,4,10,14,2
DEN,DEN,2005,"J. Bzdelik (13-15), M. Cooper (4-10), G. Karl (32-8)",J. Bzdelik,bzdelje99c,13,15,28,1
DEN,DEN,2004,J. Bzdelik (43-39),J. Bzdelik,bzdelje99c,43,39,82,1
DEN,DEN,2003,J. Bzdelik (17-65),J. Bzdelik,bzdelje99c,17,65,82,1
DEN,DEN,2002,"D. Issel (9-17), M. Evans (18-38)",M. Evans,evansmi01c,18,38,56,2
DEN,DEN,2002,"D. Issel (9-17), M. Evans (18-38)",D. Issel,isselda01c,9,17,26,1
DEN,DEN,2001,D. Issel (40-42),D. Issel,isselda01c,40,42,82,1
DET,DET,2018,S. Van Gundy (15-13),S. Van Gundy,vangust99c,15,13,28,1
DET,DET,2017,S. Van Gundy (37-45),S. Van Gundy,vangust99c,37,45,82,1
DET,DET,2016,S. Van Gundy (44-38),S. Van Gundy,vangust99c,44,38,82,1
DET,DET,2015,S. Van Gundy (32-50),S. Van Gundy,vangust99c,32,50,82,1
DET,DET,2014,"M. Cheeks (21-29), J. Loyer (8-24)",J. Loyer,loyerjo99c,8,24,32,2
DET,DET,2014,"M. Cheeks (21-29), J. Loyer (8-24)",M. Cheeks,cheekma01c,21,29,50,1
DET,DET,2013,L. Frank (29-53),L. Frank,frankla99c,29,53,82,1
DET,DET,2012,L. Frank (25-41),L. Frank,frankla99c,25,41,66,1
DET,DET,2011,J. Kuester (30-52),J. Kuester,kuestjo01c,30,52,82,1
DET,DET,2010,J. Kuester (27-55),J. Kuester,kuestjo01c,27,55,82,1
DET,DET,2009,M. Curry (39-43),M. Curry,currymi01c,39,43,82,1
DET,DET,2008,F. Saunders (59-23),F. Saunders,saundfl99c,59,23,82,1
DET,DET,2007,F. Saunders (53-29),F. Saunders,saundfl99c,53,29,82,1
DET,DET,2006,F. Saunders (64-18),F. Saunders,saundfl99c,64,18,82,1
DET,DET,2005,L. Brown (54-28),L. Brown,brownla01c,54,28,82,1
DET,DET,2004,L. Brown (54-28),L. Brown,brownla01c,54,28,82,1
DET,DET,2003,R. Carlisle (50-32),R. Carlisle,carliri01c,50,32,82,1
DET,DET,2002,R. Carlisle (50-32),R. Carlisle,carliri01c,50,32,82,1
DET,DET,2001,G. Irvine (32-50),G. Irvine,irvinge01c,32,50,82,1
GSW,GSW,2018,S. Kerr (23-6),S. Kerr,kerrst01c,23,6,29,1
GSW,GSW,2017,S. Kerr (67-15),S. Kerr,kerrst01c,67,15,82,1
GSW,GSW,2016,S. Kerr (73-9),S. Kerr,kerrst01c,73,9,82,1
GSW,GSW,2015,S. Kerr (67-15),S. Kerr,kerrst01c,67,15,82,1
GSW,GSW,2014,M. Jackson (51-31),M. Jackson,jacksma01c,51,31,82,1
GSW,GSW,2013,M. Jackson (47-35),M. Jackson,jacksma01c,47,35,82,1
GSW,GSW,2012,M. Jackson (23-43),M. Jackson,jacksma01c,23,43,66,1
GSW,GSW,2011,K. Smart (36-46),K. Smart,smartke01c,36,46,82,1
GSW,GSW,2010,D. Nelson (26-56),D. Nelson,nelsodo01c,26,56,82,1
GSW,GSW,2009,D. Nelson (29-53),D. Nelson,nelsodo01c,29,53,82,1
GSW,GSW,2008,D. Nelson (48-34),D. Nelson,nelsodo01c,48,34,82,1
GSW,GSW,2007,D. Nelson (42-40),D. Nelson,nelsodo01c,42,40,82,1
GSW,GSW,2006,M. Montgomery (34-48),M. Montgomery,montgmi99c,34,48,82,1
GSW,GSW,2005,M. Montgomery (34-48),M. Montgomery,montgmi99c,34,48,82,1
GSW,GSW,2004,E. Musselman (37-45),E. Musselman,musseer99c,37,45,82,1
GSW,GSW,2003,E. Musselman (38-44),E. Musselman,musseer99c,38,44,82,1
GSW,GSW,2002,"D. Cowens (8-15), B. Winters (13-46)",B. Winters,wintebr01c,13,46,59,2
GSW,GSW,2002,"D. Cowens (8-15), B. Winters (13-46)",D. Cowens,cowenda01c,8,15,23,1
GSW,GSW,2001,D. Cowens (17-65),D. Cowens,cowenda01c,17,65,82,1
HOU,HOU,2018,M. D'Antoni (22-4),M. D'Antoni,dantomi01c,22,4,26,1
HOU,HOU,2017,M. D'Antoni (55-27),M. D'Antoni,dantomi01c,55,27,82,1
HOU,HOU,2016,"K. McHale (4-7), J. Bickerstaff (37-34)",J. Bickerstaff,bickejb01c,37,34,71,2
HOU,HOU,2016,"K. McHale (4-7), J. Bickerstaff (37-34)",K. McHale,mchalke01c,4,7,11,1
HOU,HOU,2015,K. McHale (56-26),K. McHale,mchalke01c,56,26,82,1
HOU,HOU,2014,K. McHale (54-28),K. McHale,mchalke01c,54,28,82,1
HOU,HOU,2013,K. McHale (45-37),K. McHale,mchalke01c,45,37,82,1
HOU,HOU,2012,K. McHale (34-32),K. McHale,mchalke01c,34,32,66,1
HOU,HOU,2011,R. Adelman (43-39),R. Adelman,adelmri01c,43,39,82,1
HOU,HOU,2010,R. Adelman (42-40),R. Adelman,adelmri01c,42,40,82,1
HOU,HOU,2009,R. Adelman (53-29),R. Adelman,adelmri01c,53,29,82,1
HOU,HOU,2008,R. Adelman (55-27),R. Adelman,adelmri01c,55,27,82,1
HOU,HOU,2007,J. Van Gundy (52-30),J. Van Gundy,vanguje99c,52,30,82,1
HOU,HOU,2006,J. Van Gundy (34-48),J. Van Gundy,vanguje99c,34,48,82,1
HOU,HOU,2005,J. Van Gundy (51-31),J. Van Gundy,vanguje99c,51,31,82,1
HOU,HOU,2004,J. Van Gundy (45-37),J. Van Gundy,vanguje99c,45,37,82,1
HOU,HOU,2003,R. Tomjanovich (43-39),R. Tomjanovich,tomjaru01c,43,39,82,1
HOU,HOU,2002,R. Tomjanovich (28-54),R. Tomjanovich,tomjaru01c,28,54,82,1
HOU,HOU,2001,R. Tomjanovich (45-37),R. Tomjanovich,tomjaru01c,45,37,82,1
IND,IND,2018,N. McMillan (16-12),N. McMillan,mcmilna01c,16,12,28,1
IND,IND,2017,N. McMillan (42-40),N. McMillan,mcmilna01c,42,40,82,1
IND,IND,2016,F. Vogel (45-37),F. Vogel,vogelfr99c,45,37,82,1
IND,IND,2015,F. Vogel (38-44),F. Vogel,vogelfr99c,38,44,82,1
IND,IND,2014,F. Vogel (56-26),F. Vogel,vogelfr99c,56,26,82,1
IND,IND,2013,F. Vogel (49-32),F. Vogel,vogelfr99c,49,32,81,1
IND,IND,2012,F. Vogel (42-24),F. Vogel,vogelfr99c,42,24,66,1
IND,IND,2011,"J. O'Brien (17-27), F. Vogel (20-18)",F. Vogel,vogelfr99c,20,18,38,2
IND,IND,2011,"J. O'Brien (17-27), F. Vogel (20-18)",J. O'Brien,obrieji99c,17,27,44,1
IND,IND,2010,J. O'Brien (32-50),J. O'Brien,obrieji99c,32,50,82,1
IND,IND,2009,J. O'Brien (36-46),J. O'Brien,obrieji99c,36,46,82,1
IND,IND,2008,J. O'Brien (36-46),J. O'Brien,obrieji99c,36,46,82,1
IND,IND,2007,R. Carlisle (35-47),R. Carlisle,carliri01c,35,47,82,1
IND,IND,2006,R. Carlisle (41-41),R. Carlisle,carliri01c,41,41,82,1
IND,IND,2005,R. Carlisle (44-38),R. Carlisle,carliri01c,44,38,82,1
IND,IND,2004,R. Carlisle (61-21),R. Carlisle,carliri01c,61,21,82,1
IND,IND,2003,I. Thomas (48-34),I. Thomas,thomais01c,48,34,82,1
IND,IND,2002,I. Thomas (42-40),I. Thomas,thomais01c,42,40,82,1
IND,IND,2001,I. Thomas (41-41),I. Thomas,thomais01c,41,41,82,1
LAC,LAC,2018,D. Rivers (11-15),D. Rivers,riverdo01c,11,15,26,1
LAC,LAC,2017,D. Rivers (51-31),D. Rivers,riverdo01c,51,31,82,1
LAC,LAC,2016,D. Rivers (53-29),D. Rivers,riverdo01c,53,29,82,1
LAC,LAC,2015,D. Rivers (56-26),D. Rivers,riverdo01c,56,26,82,1
LAC,LAC,2014,D. Rivers (57-25),D. Rivers,riverdo01c,57,25,82,1
LAC,LAC,2013,V. Del Negro (56-26),V. Del Negro,delnevi01c,56,26,82,1
LAC,LAC,2012,V. Del Negro (40-26),V. Del Negro,delnevi01c,40,26,66,1
LAC,LAC,2011,V. Del Negro (32-50),V. Del Negro,delnevi01c,32,50,82,1
LAC,LAC,2010,"M. Dunleavy (21-28), K. Hughes (8-25)",K. Hughes,hugheki01c,8,25,33,2
LAC,LAC,2010,"M. Dunleavy (21-28), K. Hughes (8-25)",M. Dunleavy,dunlemi01c,21,28,49,1
LAC,LAC,2009,M. Dunleavy (19-63),M. Dunleavy,dunlemi01c,19,63,82,1
LAC,LAC,2008,M. Dunleavy (23-59),M. Dunleavy,dunlemi01c,23,59,82,1
LAC,LAC,2007,M. Dunleavy (40-42),M. Dunleavy,dunlemi01c,40,42,82,1
LAC,LAC,2006,M. Dunleavy (47-35),M. Dunleavy,dunlemi01c,47,35,82,1
LAC,LAC,2005,M. Dunleavy (37-45),M. Dunleavy,dunlemi01c,37,45,82,1
LAC,LAC,2004,M. Dunleavy (28-54),M. Dunleavy,dunlemi01c,28,54,82,1
LAC,LAC,2003,"A. Gentry (19-39), D. Johnson (8-16)",D. Johnson,johnsde01c,8,16,24,2
LAC,LAC,2003,"A. Gentry (19-39), D. Johnson (8-16)",A. Gentry,gentral99c,19,39,58,1
LAC,LAC,2002,A. Gentry (39-43),A. Gentry,gentral99c,39,43,82,1
LAC,LAC,2001,A. Gentry (31-51),A. Gentry,gentral99c,31,51,82,1
LAL,LAL,2018,L. Walton (10-17),L. Walton,waltolu01c,10,17,27,1
LAL,LAL,2017,L. Walton (26-56),L. Walton,waltolu01c,26,56,82,1
LAL,LAL,2016,B. Scott (17-65),B. Scott,scottby01c,17,65,82,1
LAL,LAL,2015,B. Scott (21-61),B. Scott,scottby01c,21,61,82,1
LAL,LAL,2014,M. D'Antoni (27-55),M. D'Antoni,dantomi01c,27,55,82,1
LAL,LAL,2013,"M. Brown (1-4), B. Bickerstaff (4-1), M. D'Antoni (40-32)",M. D'Antoni,dantomi01c,40,32,72,3
LAL,LAL,2013,"M. Brown (1-4), B. Bickerstaff (4-1), M. D'Antoni (40-32)",B. Bickerstaff,bickebe99c,4,1,5,2
LAL,LAL,2013,"M. Brown (1-4), B. Bickerstaff (4-1), M. D'Antoni (40-32)",M. Brown,brownmi99c,1,4,5,1
LAL,LAL,2012,M. Brown (41-25),M. Brown,brownmi99c,41,25,66,1
LAL,LAL,2011,P. Jackson (57-25),P. Jackson,jacksph01c,57,25,82,1
LAL,LAL,2010,P. Jackson (57-25),P. Jackson,jacksph01c,57,25,82,1
LAL,LAL,2009,P. Jackson (65-17),P. Jackson,jacksph01c,65,17,82,1
LAL,LAL,2008,P. Jackson (57-25),P. Jackson,jacksph01c,57,25,82,1
LAL,LAL,2007,P. Jackson (42-40),P. Jackson,jacksph01c,42,40,82,1
LAL,LAL,2006,P. Jackson (45-37),P. Jackson,jacksph01c,45,37,82,1
LAL,LAL,2005,"R. Tomjanovich (24-19), F. Hamblen (10-29)",F. Hamblen,hamblfr99c,10,29,39,2
LAL,LAL,2005,"R. Tomjanovich (24-19), F. Hamblen (10-29)",R. Tomjanovich,tomjaru01c,24,19,43,1
LAL,LAL,2004,P. Jackson (56-26),P. Jackson,jacksph01c,56,26,82,1
LAL,LAL,2003,P. Jackson (50-32),P. Jackson,jacksph01c,50,32,82,1
LAL,LAL,2002,P. Jackson (58-24),P. Jackson,jacksph01c,58,24,82,1
LAL,LAL,2001,P. Jackson (56-26),P. Jackson,jacksph01c,56,26,82,1
WAS,WAS,2018,S. Brooks (15-13),S. Brooks,brooksc01c,15,13,28,1
WAS,WAS,2017,S. Brooks (49-33),S. Brooks,brooksc01c,49,33,82,1
WAS,WAS,2016,R. Wittman (41-41),R. Wittman,wittmra01c,41,41,82,1
WAS,WAS,2015,R. Wittman (46-36),R. Wittman,wittmra01c,46,36,82,1
WAS,WAS,2014,R. Wittman (44-38),R. Wittman,wittmra01c,44,38,82,1
WAS,WAS,2013,R. Wittman (29-53),R. Wittman,wittmra01c,29,53,82,1
WAS,WAS,2012,"F. Saunders (2-15), R. Wittman (18-31)",R. Wittman,wittmra01c,18,31,49,2
WAS,WAS,2012,"F. Saunders (2-15), R. Wittman (18-31)",F. Saunders,saundfl99c,2,15,17,1
WAS,WAS,2011,F. Saunders (23-59),F. Saunders,saundfl99c,23,59,82,1
WAS,WAS,2010,F. Saunders (26-56),F. Saunders,saundfl99c,26,56,82,1
WAS,WAS,2009,"E. Jordan (1-10), E. Tapscott (18-53)",E. Tapscott,tapsced99c,18,53,71,2
WAS,WAS,2009,"E. Jordan (1-10), E. Tapscott (18-53)",E. Jordan,jordaed01c,1,10,11,1
WAS,WAS,2008,E. Jordan (43-39),E. Jordan,jordaed01c,43,39,82,1
WAS,WAS,2007,E. Jordan (41-41),E. Jordan,jordaed01c,41,41,82,1
WAS,WAS,2006,E. Jordan (42-40),E. Jordan,jordaed01c,42,40,82,1
WAS,WAS,2005,E. Jordan (45-37),E. Jordan,jordaed01c,45,37,82,1
WAS,WAS,2004,E. Jordan (25-57),E. Jordan,jordaed01c,25,57,82,1
WAS,WAS,2003,D. Collins (37-45),D. Collins,collido01c,37,45,82,1
WAS,WAS,2002,D. Collins (37-45),D. Collins,collido01c,37,45,82,1
WAS,WAS,2001,L. Hamilton (19-63),L. Hamilton,hamille99c,19,63,82,1
