slug,coach,coach_id,franchise,seasons,games,wins,losses,min_date,max_date,left_truncated
vogelfr99c|11|16|IND,Frank Vogel,vogelfr99c,IND,6,431,250,181,2011-01-31,2016-04-13,False
mcmilna01c|16|17|IND,Nate McMillan,mcmilna01c,IND,2,110,58,52,2016-10-26,2017-12-13,False
gentral99c|00|03|LAC,Alvin Gentry,gentral99c,LAC,3,222,89,133,2000-10-31,2003-03-01,True
johnsde01c|03|03|LAC,Dennis Johnson,johnsde01c,LAC,1,24,8,16,2003-03-03,2003-04-16,False
dunlemi01c|03|10|LAC,Mike Dunleavy,dunlemi01c,LAC,7,541,215,326,2003-10-30,2010-02-03,False
hugheki01c|10|10|LAC,Kim Hughes,hugheki01c,LAC,1,33,8,25,2010-02-06,2010-04-14,False
delnevi01c|10|13|LAC,Vinny Del Negro,delnevi01c,LAC,3,230,128,102,2010-10-27,2013-04-17,False
riverdo01c|13|17|LAC,Doc Rivers,riverdo01c,LAC,5,354,228,126,2013-10-29,2017-12-13,False
jacksph01c|00|04|LAL,Phil Jackson,jacksph01c,LAL,4,328,220,108,2000-10-31,2004-04-14,True
tomjaru01c|04|05|LAL,Rudy Tomjanovich,tomjaru01c,LAL,1,43,24,19,2004-11-02,2005-02-01,False
hamblfr99c|05|05|LAL,Frank Hamblen,hamblfr99c,LAL,1,39,10,29,2005-02-03,2005-04-20,False
jacksph01c|05|11|LAL,Phil Jackson,jacksph01c,LAL,6,492,323,169,2005-11-02,2011-04-13,False
brownmi99c|11|12|LAL,Mike Brown,brownmi99c,LAL,2,71,42,29,2011-12-25,2012-11-07,False
bickebe99c|12|12|LAL,Bernie Bickerstaff,bickebe99c,LAL,1,5,4,1,2012-11-09,2012-11-18,False
dantomi01c|12|14|LAL,Mike D'Antoni,dantomi01c,LAL,2,154,67,87,2012-11-20,2014-04-16,False
scottby01c|14|16|LAL,Byron Scott,scottby01c,LAL,2,164,38,126,2014-10-28,2016-04-13,False
waltolu01c|16|17|LAL,Luke Walton,waltolu01c,LAL,2,109,36,73,2016-10-26,2017-12-14,False
rileypa01c|00|03|MIA,Pat Riley,rileypa01c,MIA,3,246,111,135,2000-11-01,2003-04-15,True
vangust99c|03|05|MIA,Stan Van Gundy,vangust99c,MIA,3,185,112,73,2003-10-28,2005-12-11,False
rileypa01c|05|08|MIA,Pat Riley,rileypa01c,MIA,3,225,100,125,2005-12-13,2008-04-16,False
spoeler99c|08|17|MIA,Erik Spoelstra,spoeler99c,MIA,10,749,453,296,2008-10-29,2017-12-13,False
karlge01c|00|03|MIL,George Karl,karlge01c,MIL,3,246,135,111,2000-10-31,2003-04-16,True
portete01c|03|05|MIL,Terry Porter,portete01c,MIL,2,164,71,93,2003-10-29,2005-04-19,False
stottte99c|05|07|MIL,Terry Stotts,stottte99c,MIL,2,146,63,83,2005-11-01,2007-03-12,False
krystla01c|07|08|MIL,Larry Krystkowiak,krystla01c,MIL,2,100,31,69,2007-03-15,2008-04-16,False
skilesc01c|08|13|MIL,Scott Skiles,skilesc01c,MIL,5,344,162,182,2008-10-28,2013-01-05,False
boylaji99c|13|13|MIL,Jim Boylan,boylaji99c,MIL,1,50,22,28,2013-01-08,2013-04-17,False
drewla01c|13|14|MIL,Larry Drew,drewla01c,MIL,1,82,15,67,2013-10-30,2014-04-16,False
kiddja01c|14|17|MIL,Jason Kidd,kiddja01c,MIL,4,272,131,141,2014-10-29,2017-12-13,False
saundfl99c|00|05|MIN,Flip Saunders,saundfl99c,MIN,5,379,231,148,2000-10-31,2005-02-11,True
mchalke01c|05|05|MIN,Kevin McHale,mchalke01c,MIN,1,31,19,12,2005-02-13,2005-04-20,False
caseydw99c|05|07|MIN,Dwane Casey,caseydw99c,MIN,2,122,53,69,2005-11-02,2007-01-22,False
wittmra01c|07|08|MIN,Randy Wittman,wittmra01c,MIN,3,143,38,105,2007-01-24,2008-12-06,False
mchalke01c|08|09|MIN,Kevin McHale,mchalke01c,MIN,1,63,20,43,2008-12-09,2009-04-15,False
rambiku01c|09|11|MIN,Kurt Rambis,rambiku01c,MIN,2,164,32,132,2009-10-28,2011-04-13,False
adelmri01c|11|14|MIN,Rick Adelman,adelmri01c,MIN,3,230,97,133,2011-12-26,2014-04-16,False
saundfl99c|14|15|MIN,Flip Saunders,saundfl99c,MIN,1,82,16,66,2014-10-29,2015-04-15,False
mitchsa01c|15|16|MIN,Sam Mitchell,mitchsa01c,MIN,1,82,29,53,2015-10-28,2016-04-13,False
thiboto99c|16|17|MIN,Tom Thibodeau,thiboto99c,MIN,2,111,48,63,2016-10-26,2017-12-14,False
