conference,school,coach,start,end,years,games,wins,losses,ties,win_pct,bowl_games,bowl_wins,bowl_losses,bowl_ties,bowl_pct,reason
big_xii,kansas,Turner Gill,2010,2011,2,24,5,19,0,0.208,0,0,0,0,,fired
big_xii,kansas,Charlie Weis,2012,2014,3,28,6,22,0,0.214,0,0,0,0,,fired
big_xii,kansas,Clint Bowen,2014,2014,1,8,1,7,0,0.125,0,0,0,0,,interim only
big_xii,kansas,David Beaty,2015,2016,2,20,1,19,0,0.05,0,0,0,0,,current
big_xii,kansas state,Bill Snyder,1989,2005,17,205,136,68,1,0.666,11,6,5,0,0.545,resigned
big_xii,kansas state,Ron Prince,2006,2008,3,37,17,20,0,0.459,1,0,1,0,0,fired
big_xii,kansas state,Bill Snyder,2009,2016,8,98,62,36,0,0.633,6,1,5,0,0.167,current
sec,kentucky,Hal Mumme,1997,2000,4,46,20,26,0,0.435,2,0,2,0,0,resigned
sec,kentucky,Guy Morriss,2001,2002,2,23,9,14,0,0.391,0,0,0,0,,resigned
sec,kentucky,Rich Brooks,2003,2009,7,86,39,47,0,0.453,4,3,1,0,0.75,retired
sec,kentucky,Joker Phillips,2010,2012,3,37,13,24,0,0.351,1,0,1,0,0,fired
sec,kentucky,Mark Stoops,2013,2016,4,44,17,27,0,0.386,0,0,0,0,,current
acc,louisville,John Smith,1998,2002,5,62,41,21,0,0.661,5,1,4,0,0.2,resigned
acc,louisville,Bobby Petrino,2003,2006,4,50,41,9,0,0.82,4,2,2,0,0.5,resigned
acc,louisville,Steve Kragthorpe,2007,2009,3,36,15,21,0,0.417,0,0,0,0,,fired
acc,louisville,Charlie Strong,2010,2013,4,52,37,15,0,0.712,4,3,1,0,0.75,resigned
acc,louisville,Bobby Petrino,2014,2016,3,34,24,10,0,0.706,2,1,1,0,0.5,current
big_ten,maryland,Ron Vanderlinden,1997,2000,4,44,15,29,0,0.341,0,0,0,0,,fired
big_ten,maryland,Ralph Friedgen,2001,2010,10,125,75,50,0,0.6,7,5,2,0,0.714,fired
big_ten,maryland,Randy Edsall,2011,2015,5,56,22,34,0,0.393,2,0,2,0,0,fired
big_ten,maryland,Mike Locksley,2015,2015,1,6,1,5,0,0.167,0,0,0,0,,interim only
big_ten,maryland,D.J. Durkin,2016,2016,1,8,5,3,0,0.625,0,0,0,0,,current
acc,miami,Butch Davis,1995,2000,6,71,51,20,0,0.718,4,4,0,0,1,resigned
acc,miami,Larry Coker,2001,2006,6,75,60,15,0,0.8,6,4,2,0,0.667,fired
acc,miami,Randy Shannon,2007,2010,4,50,28,22,0,0.56,2,0,2,0,0,fired
acc,miami,Jeff Stoutland,2010,2010,1,1,0,1,0,0,1,0,1,0,0,interim only
acc,miami,Al Golden,2011,2015,5,57,32,25,0,0.561,2,0,2,0,0,fired
acc,miami,Larry Scott,2015,2015,1,6,4,2,0,0.667,1,0,1,0,0,interim only
acc,miami,Mark Richt,2016,2016,1,8,4,4,0,0.5,0,0,0,0,,current
big_ten,michigan,Lloyd Carr,1995,2007,13,162,122,40,0,0.753,13,6,7,0,0.462,retired
big_ten,michigan,Rich Rodriguez,2008,2010,3,37,15,22,0,0.405,1,0,1,0,0,fired
big_ten,michigan,Brady Hoke,2011,2014,4,51,31,20,0,0.608,3,1,2,0,0.333,fired
big_ten,michigan,Jim Harbaugh,2015,2016,2,21,18,3,0,0.857,1,1,0,0,1,current
big_ten,minnesota,Glen Mason,1997,2006,10,121,64,57,0,0.529,7,3,4,0,0.429,fired
big_ten,minnesota,Tim Brewster,2007,2010,4,45,15,30,0,0.333,2,0,2,0,0,fired
big_ten,minnesota,Jeff Horton,2010,2010,1,5,2,3,0,0.4,0,0,0,0,,interim only
big_ten,minnesota,Jerry Kill,2011,2015,5,58,29,29,0,0.5,3,0,3,0,0,retired
big_ten,minnesota,Tracy Claeys,2015,2016,2,14,8,6,0,0.571,1,1,0,0,1,current
sec,mississippi,David Cutcliffe,1998,2004,7,73,44,29,0,0.603,5,4,1,0,0.8,fired
sec,mississippi,Ed Orgeron,2005,2007,3,35,10,25,0,0.286,0,0,0,0,,fired
sec,mississippi,Houston Nutt,2008,2011,4,50,24,26,0,0.48,2,2,0,0,1,fired
sec,mississippi,Hugh Freeze,2012,2016,5,60,37,23,0,0.617,4,3,1,0,0.75,current
sec,mississippi state,Jackie Sherrill,1991,2003,13,152,74,76,2,0.493,6,2,4,0,0.333,retired
sec,mississippi state,Sylvester Croom,2004,2008,5,59,21,38,0,0.356,1,1,0,0,1,forced to resign
sec,mississippi state,Dan Mullen,2009,2016,8,98,58,40,0,0.592,6,4,2,0,0.667,current
sec,missouri,Larry Smith,1994,2000,7,80,33,46,1,0.419,2,1,1,0,0.5,fired
sec,missouri,Gary Pinkel,2001,2015,15,191,118,73,0,0.618,10,6,4,0,0.6,retired
sec,missouri,Barry Odom,2016,2016,1,8,2,6,0,0.25,0,0,0,0,,current
big_ten,nebraska,Frank Solich,1998,2003,6,77,58,19,0,0.753,5,2,3,0,0.4,fired
big_ten,nebraska,Bo Pelini,2003,2003,1,1,1,0,0,1,1,1,0,0,1,interim only
big_ten,nebraska,Bill Callahan,2004,2007,4,49,27,22,0,0.551,2,1,1,0,0.5,fired
big_ten,nebraska,Bo Pelini,2008,2014,7,93,66,27,0,0.71,6,3,3,0,0.5,fired
big_ten,nebraska,Barney Cotton,2014,2014,1,1,0,1,0,0,1,0,1,0,0,interim only
big_ten,nebraska,Mike Riley,2015,2016,2,21,13,8,0,0.619,1,1,0,0,1,current
acc,north carolina,Carl Torbush,1997,2000,4,35,17,18,0,0.486,2,2,0,0,1,fired
acc,north carolina,John Bunting,2001,2006,6,72,27,45,0,0.375,2,1,1,0,0.5,fired
acc,north carolina,Butch Davis,2007,2010,4,51,28,23,0,0.549,3,1,2,0,0.333,fired
acc,north carolina,Everett Withers,2011,2011,1,13,7,6,0,0.538,1,0,1,0,0,interim only
acc,north carolina,Larry Fedora,2012,2016,5,60,38,22,0,0.633,3,1,2,0,0.333,current
acc,north carolina state,Chuck Amato,2000,2006,7,86,49,37,0,0.57,5,4,1,0,0.8,fired
acc,north carolina state,Tom O'Brien,2007,2012,6,75,40,35,0,0.533,3,2,1,0,0.667,fired
acc,north carolina state,Dana Bible,2012,2012,1,1,0,1,0,0,1,0,1,0,0,interim only
acc,north carolina state,Dave Doeren,2013,2016,4,46,22,24,0,0.478,2,1,1,0,0.5,current
big_ten,northwestern,Randy Walker,1999,2005,7,83,37,46,0,0.446,3,0,3,0,0,died
big_ten,northwestern,Pat Fitzgerald,2006,2016,11,134,74,60,0,0.552,6,1,5,0,0.167,current
independent,notre dame,Bob Davie,1997,2001,5,60,35,25,0,0.583,3,0,3,0,0,fired
independent,notre dame,Tyrone Willingham,2002,2004,3,36,21,15,0,0.583,1,0,1,0,0,fired
independent,notre dame,Kent Baer,2004,2004,1,1,0,1,0,0,1,0,1,0,0,interim only
independent,notre dame,Charlie Weis,2005,2009,5,62,35,27,0,0.565,3,1,2,0,0.333,fired
independent,notre dame,Brian Kelly,2010,2016,7,86,58,28,0,0.674,6,3,3,0,0.5,current
big_ten,ohio state,John Cooper,1988,2000,13,158,111,43,4,0.715,11,3,8,0,0.273,fired
big_ten,ohio state,Jim Tressel,2001,2010,10,128,106,22,0,0.828,10,6,4,0,0.6,forced to resign
big_ten,ohio state,Luke Fickell,2011,2011,1,13,6,7,0,0.462,1,0,1,0,0,interim only
big_ten,ohio state,Urban Meyer,2012,2016,5,62,57,5,0,0.919,3,2,1,0,0.667,current
big_xii,oklahoma,Bob Stoops,1999,2016,18,233,185,48,0,0.794,16,8,8,0,0.5,current
