franchise,team,year,coaches_text,coaches_id
NORLHP,NOH,2005,B. Scott (18-64),scottby01c
NORLHP,NOH,2004,T. Floyd (41-41),floydti99c
NORLHP,NOH,2003,P. Silas (47-35),silaspa01c
NYK,NYK,2018,J. Hornacek (15-13),hornaje01c
NYK,NYK,2017,J. Hornacek (31-51),hornaje01c
NYK,NYK,2016,"D. Fisher (23-31), K. Rambis (9-19)",fishede01c|rambiku01c
NYK,NYK,2015,D. Fisher (17-65),fishede01c
NYK,NYK,2014,M. Woodson (37-45),woodsmi01c
NYK,NYK,2013,M. Woodson (54-28),woodsmi01c
NYK,NYK,2012,"M. D'Antoni (18-24), M. Woodson (18-6)",dantomi01c|woodsmi01c
NYK,NYK,2011,M. D'Antoni (42-40),dantomi01c
NYK,NYK,2010,M. D'Antoni (29-53),dantomi01c
NYK,NYK,2009,M. D'Antoni (32-50),dantomi01c
NYK,NYK,2008,I. Thomas (23-59),thomais01c
NYK,NYK,2007,I. Thomas (33-49),thomais01c
NYK,NYK,2006,L. Brown (23-59),brownla01c
NYK,NYK,2005,"L. Wilkens (17-22), H. Williams (16-27)",wilkele01c|willihe01c
NYK,NYK,2004,"D. Chaney (15-24), H. Williams (1-0), L. Wilkens (23-19)",chanedo01c|willihe01c|wilkele01c
NYK,NYK,2003,D. Chaney (37-45),chanedo01c
NYK,NYK,2002,"J. Van Gundy (10-9), D. Chaney (20-43)",vanguje99c|chanedo01c
NYK,NYK,2001,J. Van Gundy (48-34),vanguje99c
NYK,NYK,2000,J. Van Gundy (50-32),vanguje99c
NYK,NYK,1999,J. Van Gundy (27-23),vanguje99c
NYK,NYK,1998,J. Van Gundy (43-39),vanguje99c
NYK,NYK,1997,J. Van Gundy (57-25),vanguje99c
NYK,NYK,1996,"D. Nelson (34-25), J. Van Gundy (13-10)",nelsodo01c|vanguje99c
NYK,NYK,1995,P. Riley (55-27),rileypa01c
NYK,NYK,1994,P. Riley (57-25),rileypa01c
NYK,NYK,1993,P. Riley (60-22),rileypa01c
NYK,NYK,1992,P. Riley (51-31),rileypa01c
NYK,NYK,1991,"S. Jackson (7-8), J. MacLeod (32-35)",jacksst99c|maclejo99c
NYK,NYK,1990,S. Jackson (45-37),jacksst99c
NYK,NYK,1989,R. Pitino (52-30),pitinri99c
NYK,NYK,1988,R. Pitino (38-44),pitinri99c
NYK,NYK,1987,"H. Brown (4-12), B. Hill (20-46)",brownhu99c|hillbo99c
NYK,NYK,1986,H. Brown (23-59),brownhu99c
NYK,NYK,1985,H. Brown (24-58),brownhu99c
NYK,NYK,1984,H. Brown (47-35),brownhu99c
NYK,NYK,1983,H. Brown (44-38),brownhu99c
NYK,NYK,1982,R. Holzman (33-49),holzmre01c
NYK,NYK,1981,R. Holzman (50-32),holzmre01c
NYK,NYK,1980,R. Holzman (39-43),holzmre01c
NYK,NYK,1979,"W. Reed (6-8), R. Holzman (25-43)",reedwi01c|holzmre01c
NYK,NYK,1978,W. Reed (43-39),reedwi01c
NYK,NYK,1977,R. Holzman (40-42),holzmre01c
NYK,NYK,1976,R. Holzman (38-44),holzmre01c
NYK,NYK,1975,R. Holzman (40-42),holzmre01c
NYK,NYK,1974,R. Holzman (49-33),holzmre01c
NYK,NYK,1973,R. Holzman (57-25),holzmre01c
NYK,NYK,1972,R. Holzman (48-34),holzmre01c
NYK,NYK,1971,R. Holzman (52-30),holzmre01c
NYK,NYK,1970,R. Holzman (60-22),holzmre01c
NYK,NYK,1969,R. Holzman (54-28),holzmre01c
NYK,NYK,1968,"D. McGuire (15-23), R. Holzman (28-16)",mcguidi01c|holzmre01c
NYK,NYK,1967,D. McGuire (36-45),mcguidi01c
NYK,NYK,1966,"H. Gallatin (6-15), D. McGuire (24-35)",gallaha01c|mcguidi01c
NYK,NYK,1965,"E. Donovan (12-26), H. Gallatin (19-23)",donoved99c|gallaha01c
NYK,NYK,1964,E. Donovan (22-58),donoved99c
NYK,NYK,1963,E. Donovan (21-59),donoved99c
NYK,NYK,1962,E. Donovan (29-51),donoved99c
NYK,NYK,1961,C. Braun (21-58),braunca01c
NYK,NYK,1960,"A. Levane (8-19), C. Braun (19-29)",levanan01c|braunca01c
NYK,NYK,1959,A. Levane (40-32),levanan01c
NYK,NYK,1958,V. Boryla (35-37),borylvi01c
NYK,NYK,1957,V. Boryla (36-36),borylvi01c
NYK,NYK,1956,"J. Lapchick (26-25), V. Boryla (9-12)",lapchjo99c|borylvi01c
NYK,NYK,1955,J. Lapchick (38-34),lapchjo99c
NYK,NYK,1954,J. Lapchick (44-28),lapchjo99c
