coach_id|coach_name|fromyear|toyear|iscurrent
russebi01c|Bill Russell|1967|1988|
russejo99c|John Russell|1947|1948|
sachsph99c|Philip Sachs|1947|1947|
sadowed01c|Ed Sadowski|1947|1947|
sandeto01c|Tom Sanders|1978|1979|
saundfl99c|Flip Saunders|1996|2015|
schaehe01c|Herm Schaefer|1952|1953|
schaufr01c|Fred Schaus|1961|1967|
schaydo01c|Dolph Schayes|1964|1972|
schulmi99c|Mike Schuler|1987|1992|
schulho99c|Howie Schultz|1950|1950|
scolafr01c|Fred Scolari|1952|1952|
scottby01c|Byron Scott|2001|2016|
scottra01c|Ray Scott|1973|1976|
senesge01c|George Senesky|1956|1958|
seymopa01c|Paul Seymour|1957|1969|
sharmbi01c|Bill Sharman|1967|1976|
shawbr01c|Brian Shaw|2014|2015|
shiplbe99c|Beryl Shipley|1975|1975|
shippch01c|Charley Shipp|1950|1950|
shuege01c|Gene Shue|1967|1989|
silaspa01c|Paul Silas|1981|2012|
skilesc01c|Scott Skiles|2000|2016|
sloanje01c|Jerry Sloan|1980|2011|
smartke01c|Keith Smart|2003|2013|
smileja01c|Jack Smiley|1950|1950|
snydequ01c|Quin Snyder|2015|2018|y
soaral99c|Albert Soar|1948|1948|
spoeler99c|Erik Spoelstra|2009|2018|y
stjeaga99c|Garry St. Jean|1993|2000|
staakbo99c|Bob Staak|1997|1997|
stavela01c|Larry Staverman|1968|1978|
steelje99c|Jerry Steele|1971|1971|
stevebr99c|Brad Stevens|2014|2018|y
stottte99c|Terry Stotts|2003|2018|y
sueseke99c|Ken Suesens|1950|1950|
tapsced99c|Ed Tapscott|2009|2009|
tarkaje99c|Jerry Tarkanian|1993|1993|
theusre01c|Reggie Theus|2008|2009|
thiboto99c|Tom Thibodeau|2011|2018|y
thomais01c|Isiah Thomas|2001|2008|
thornro01c|Rod Thorn|1976|1982|
toddji99c|Jim Todd|2000|2000|
toddro99c|Rolland Todd|1971|1972|
todormi01c|Mike Todorovich|1951|1951|
tomjaru01c|Rudy Tomjanovich|1992|2005|
tormobu01c|Gene Tormohlen|1976|1976|
trianja99c|Jay Triano|2009|2018|y
unselwe01c|Wes Unseld|1988|1994|
vanardi01c|Dick Van Arsdale|1987|1987|
vanbrbu01c|Butch Van Breda Kolff|1968|1977|
vanguje99c|Jeff Van Gundy|1996|2007|
vangust99c|Stan Van Gundy|2004|2018|y
vandeki01c|Kiki Vandeweghe|2010|2010|
vaughja01c|Jacque Vaughn|2013|2015|
versadi99c|Dick Versace|1989|1991|
vincesa01c|Sam Vincent|2008|2008|
vitaldi99c|Dick Vitale|1979|1980|
vogelfr99c|Frank Vogel|2011|2018|y
walkeda01c|Darrell Walker|1997|2000|
walshdo99c|Donnie Walsh|1979|1981|
