date,season,playoff,team,elo,win,franchise
1979-11-02,1980,,SEA,1591.5562,True,SEAOKC
1979-11-02,1980,,NJN,1380.1498,True,NJNBRK
1979-11-02,1980,,SAS,1546.8022,False,SAS
1979-11-03,1980,,ATL,1569.5651,True,ATL
1979-11-03,1980,,CHI,1429.0166,False,CHI
1979-11-03,1980,,UTA,1338.3986,False,UTA
1979-11-03,1980,,MIL,1628.35,True,MIL
1979-11-03,1980,,KCK,1523.1069,False,KCK
1979-11-03,1980,,HOU,1494.6598,True,HOU
1979-11-03,1980,,DEN,1466.9695,False,DEN
1979-11-03,1980,,PHI,1604.9132,True,PHI
1979-11-03,1980,,BOS,1527.4948,True,BOS
1979-11-03,1980,,DET,1422.3938,False,DET
1979-11-03,1980,,WSB,1481.0439,False,WSB
1979-11-03,1980,,SDC,1475.8589,True,SDC
1979-11-03,1980,,IND,1454.2279,False,IND
1979-11-03,1980,,GSW,1521.5986,True,GSW
1979-11-03,1980,,NJN,1378.6951,False,NJNBRK
1979-11-03,1980,,CLE,1415.1957,True,CLE
1979-11-04,1980,,POR,1622.7228,True,POR
1979-11-04,1980,,KCK,1516.5734,False,KCK
1979-11-04,1980,,SAS,1544.1564,False,SAS
1979-11-04,1980,,NJN,1385.2286,True,NJNBRK
1979-11-04,1980,,MIL,1609.4381,False,MIL
1979-11-04,1980,,SEA,1610.468,True,SEAOKC
1979-11-06,1980,,SEA,1621.0533,True,SEAOKC
1979-11-06,1980,,IND,1442.6876,False,IND
1979-11-06,1980,,SDC,1469.6372,False,SDC
1979-11-06,1980,,ATL,1574.0437,True,ATL
1979-11-06,1980,,NJN,1381.4965,False,NJNBRK
1979-11-06,1980,,PHO,1599.9207,True,PHO
1979-11-06,1980,,MIL,1603.739,False,MIL
1979-11-06,1980,,PHI,1610.6123,True,PHI
1979-11-06,1980,,LAL,1560.205,True,LAL
1979-11-06,1980,,CLE,1426.736,True,CLE
1979-11-06,1980,,CHI,1418.4313,False,CHI
1979-11-06,1980,,NYK,1444.8751,False,NYK
1979-11-06,1980,,UTA,1332.0677,False,UTA
1979-11-06,1980,,SAS,1547.8885,True,SAS
1979-11-07,1980,,DEN,1487.4189,True,DEN
1979-11-07,1980,,BOS,1535.9707,True,BOS
1979-11-07,1980,,PHI,1614.488,True,PHI
1979-11-07,1980,,POR,1611.6998,False,POR
1979-11-07,1980,,IND,1453.7106,True,IND
1979-11-07,1980,,HOU,1497.3856,True,HOU
1979-11-07,1980,,SAS,1539.4126,False,SAS
1979-11-07,1980,,SEA,1600.6039,False,SEAOKC
1979-11-07,1980,,ATL,1581.4761,True,ATL
1979-11-07,1980,,GSW,1533.1187,True,GSW
1979-11-07,1980,,NJN,1378.7706,False,NJNBRK
1979-11-07,1980,,PHO,1577.3802,False,PHO
1979-11-07,1980,,KCK,1512.6976,False,KCK
1979-11-07,1980,,LAL,1548.6849,False,LAL
1979-11-07,1980,,DET,1414.9614,False,DET
1979-11-07,1980,,SDC,1492.1776,True,SDC
1979-11-08,1980,,MIL,1610.4581,True,MIL
1979-11-08,1980,,UTA,1326.9683,False,UTA
1979-11-08,1980,,POR,1604.9807,False,POR
1979-11-08,1980,,DEN,1492.5184,True,DEN
1979-11-09,1980,,DEN,1489.266,False,DEN
1979-11-09,1980,,PHO,1579.3938,True,PHO
1979-11-09,1980,,KCK,1507.2484,False,KCK
1979-11-09,1980,,BOS,1541.4199,True,BOS
1979-11-09,1980,,CHI,1430.6233,True,CHI
1979-11-09,1980,,PHI,1601.8723,False,PHI
1979-11-09,1980,,LAL,1551.9374,True,LAL
1979-11-09,1980,,DET,1427.5771,True,DET
1979-11-09,1980,,SDC,1479.9856,False,SDC
1979-11-09,1980,,SAS,1531.1158,False,SAS
1979-11-09,1980,,WSB,1489.3407,True,WSB
1979-11-09,1980,,CLE,1424.7224,False,CLE
1979-11-10,1980,,IND,1463.338,True,IND
1979-11-10,1980,,POR,1609.6917,True,POR
1979-11-10,1980,,WSB,1486.615,False,WSB
1979-11-10,1980,,SAS,1537.7637,True,SAS
1979-11-10,1980,,BOS,1539.3838,False,BOS
1979-11-10,1980,,SEA,1602.5134,True,SEAOKC
1979-11-10,1980,,SDC,1472.431,False,SDC
1979-11-10,1980,,DET,1423.2065,False,DET
1979-11-10,1980,,ATL,1584.2018,True,ATL
1979-11-10,1980,,GSW,1523.4912,False,GSW
1979-11-10,1980,,CHI,1425.9124,False,CHI
1979-11-10,1980,,HOU,1501.7562,True,HOU
1979-11-10,1980,,MIL,1618.0127,True,MIL
1979-11-10,1980,,UTA,1325.0587,False,UTA
1979-11-10,1980,,PHI,1603.9084,True,PHI
1979-11-10,1980,,NYK,1438.2273,False,NYK
1979-11-11,1980,,CLE,1420.0898,False,CLE
1979-11-11,1980,,PHO,1587.7401,True,PHO
1979-11-11,1980,,LAL,1556.5699,True,LAL
1979-11-11,1980,,KCK,1501.7079,False,KCK
1979-11-11,1980,,POR,1615.2322,True,POR
1979-11-11,1980,,DEN,1480.9197,False,DEN
1979-11-12,1980,,UTA,1317.2158,False,UTA
1979-11-12,1980,,IND,1471.1809,True,IND
1979-11-13,1980,,CLE,1416.2014,False,CLE
1979-11-13,1980,,CHI,1421.5046,False,CHI
1979-11-13,1980,,NJN,1401.1185,True,NJNBRK
1979-11-13,1980,,NYK,1430.6577,False,NYK
1979-11-13,1980,,POR,1601.7987,False,POR
1979-11-13,1980,,SAS,1541.7183,True,SAS
1979-11-13,1980,,HOU,1506.1639,True,HOU
1979-11-13,1980,,DEN,1484.8081,True,DEN
1979-11-13,1980,,KCK,1510.1888,True,KCK
1979-11-13,1980,,ATL,1561.8539,False,ATL
1979-11-13,1980,,WSB,1494.1846,True,WSB
1979-11-13,1980,,MIL,1631.4462,True,MIL
1979-11-13,1980,,GSW,1519.5366,False,GSW
1979-11-13,1980,,LAL,1588.3398,True,LAL
1979-11-13,1980,,SDC,1440.6611,False,SDC
1979-11-13,1980,,PHI,1595.4275,False,PHI
1979-11-14,1980,,ATL,1563.941,True,ATL
1979-11-14,1980,,BOS,1541.7958,True,BOS
1979-11-14,1980,,IND,1468.7737,False,IND
1979-11-14,1980,,WSB,1500.0005,True,WSB
1979-11-14,1980,,SEA,1614.4535,True,SEAOKC
1979-11-14,1980,,HOU,1525.6155,True,HOU
1979-11-14,1980,,CHI,1415.6887,False,CHI
1979-11-14,1980,,UTA,1315.1287,False,UTA
1979-11-14,1980,,DET,1420.7946,False,DET
1979-11-14,1980,,GSW,1500.0851,False,GSW
1979-11-14,1980,,MIL,1619.5061,False,MIL
1979-11-14,1980,,PHO,1590.1473,True,PHO
1979-11-15,1980,,NYK,1428.1815,False,NYK
1979-11-15,1980,,DEN,1475.3276,False,DEN
1979-11-15,1980,,LAL,1581.2173,False,LAL
1979-11-15,1980,,SAS,1544.1945,True,SAS
1979-11-15,1980,,KCK,1517.3114,True,KCK
1979-11-15,1980,,GSW,1509.5656,True,GSW
1979-11-16,1980,,BOS,1544.7458,True,BOS
1979-11-16,1980,,CLE,1413.969,False,CLE
1979-11-16,1980,,SEA,1616.6859,True,SEAOKC
1979-11-16,1980,,SDC,1447.4952,True,SDC
1979-11-16,1980,,PHO,1592.9827,True,PHO
1979-11-16,1980,,PHI,1588.9452,False,PHI
1979-11-16,1980,,NJN,1397.0599,False,NJNBRK
1979-11-16,1980,,UTA,1312.1786,False,UTA
1979-11-16,1980,,LAL,1589.4486,True,LAL
1979-11-16,1980,,NYK,1425.8354,False,NYK
1979-11-16,1980,,CHI,1412.5118,False,CHI
1979-11-16,1980,,WSB,1504.0591,True,WSB
1979-11-16,1980,,SAS,1550.6768,True,SAS
1979-11-16,1980,,POR,1598.9634,False,POR
1979-11-16,1980,,KCK,1520.4883,True,KCK
1979-11-16,1980,,HOU,1527.9615,True,HOU
1979-11-16,1980,,IND,1461.9396,False,IND
1979-11-16,1980,,DEN,1467.0963,False,DEN
1979-11-17,1980,,WSB,1506.3713,True,WSB
1979-11-17,1980,,POR,1601.1884,True,POR
1979-11-17,1980,,NYK,1432.6061,True,NYK
1979-11-17,1980,,CHI,1419.7559,True,CHI
1979-11-17,1980,,DET,1410.3143,False,DET
1979-11-17,1980,,ATL,1556.4995,False,ATL
1979-11-17,1980,,UTA,1309.8663,False,UTA
1979-11-17,1980,,PHI,1581.7012,False,PHI
1979-11-17,1980,,NJN,1407.5402,True,NJNBRK
1979-11-17,1980,,SEA,1623.54,True,SEAOKC
1979-11-17,1980,,BOS,1537.9752,False,BOS
1979-11-17,1980,,CLE,1411.744,False,CLE
1979-11-17,1980,,GSW,1502.7114,False,GSW
1979-11-17,1980,,HOU,1535.4031,True,HOU
1979-11-18,1980,,SAS,1545.054,False,SAS
1979-11-18,1980,,GSW,1513.892,True,GSW
1979-11-18,1980,,SEA,1618.3708,False,SEAOKC
1979-11-18,1980,,MIL,1601.5397,False,MIL
1979-11-18,1980,,IND,1455.4415,False,IND
1979-11-18,1980,,KCK,1537.7319,True,KCK
1979-11-18,1980,,POR,1606.3575,True,POR
1979-11-18,1980,,PHO,1581.8021,False,PHO
1979-11-18,1980,,DEN,1449.8527,False,DEN
1979-11-18,1980,,LAL,1595.9467,True,LAL
1979-11-18,1980,,NJN,1413.163,True,NJNBRK
1979-11-18,1980,,SDC,1465.4617,True,SDC
1979-11-20,1980,,PHO,1572.8773,False,PHO
1979-11-20,1980,,PHI,1589.5647,True,PHI
1979-11-20,1980,,LAL,1587.38,False,LAL
1979-11-20,1980,,HOU,1528.2931,False,HOU
1979-11-20,1980,,GSW,1510.5453,False,GSW
1979-11-20,1980,,UTA,1305.0919,False,UTA
1979-11-20,1980,,DEN,1479.6118,True,DEN
1979-11-20,1980,,NYK,1439.7161,True,NYK
1979-11-20,1980,,SDC,1474.3865,True,SDC
1979-11-20,1980,,ATL,1558.5613,True,ATL
1979-11-20,1980,,CHI,1389.9967,False,CHI
1979-11-20,1980,,CLE,1416.5184,True,CLE
