tenure.slug,coach.id,name,tenure.ending,end.event,black,interim.promoted,first.hc.job,total.games,win.pct,starting.elo,tenure.progress,last.year.progress,recent.progress,peak,middle,bottom
adelmri01c_HOU_2008_2011,adelmri01c,Rick Adelman,fired,1,0,0,0,328,0.5884146341463414,1555.9447,8.242799999999988,43.46389999999997,-8.59089999999992,1697.241,1571.9730423780495,1454.8855
adelmri01c_MIN_2012_2014,adelmri01c,Rick Adelman,retired,0,0,0,0,230,0.4217391304347826,1328.2598,205.88959999999997,100.91640000000007,-11.214500000000044,1588.3241,1470.4106060869572,1322.3868
adelmri01c_SAC_1999_2006,adelmri01c,Rick Adelman,fired,1,0,0,0,624,0.6330128205128205,1350.9031,239.5462,35.572200000000066,55.7820999999999,1722.1309,1588.552477564103,1348.223
aingeda01c_PHO_1997_2000,aingeda01c,Danny Ainge,resigned,0,0,0,1,226,0.6017699115044248,1436.9984,133.8003000000001,-6.266499999999951,30.57030000000009,1636.8282,1531.1330969026558,1408.1003
atkinke01c_NJN_2017_2020,atkinke01c,Kenny Atkinson,mutual consent,1,0,0,1,308,0.38311688311688313,1342.98509822487,108.00301562566005,-55.51381820891993,-4.781461789020113,1518.53993007393,1405.7216603316908,1248.65847390091
ayersra99c_PHI_2004_2004,ayersra99c,Randy Ayers,fired,1,1,0,1,52,0.40384615384615385,1562.0546,-148.49209999999994,-157.5519999999999,-61.557399999999916,1565.9512,1511.0869365384615,1413.5625
beilejo99c_CLE_2020_2020,beilejo99c,John Beilein,resigned,0,0,0,1,54,0.25925925925925924,1349.54720698356,-91.23192161389011,-54.34451125473015,-72.24525725182002,1381.27756683408,1327.8133654973808,1258.31528536967
bickebe99c_CHA_2005_2007,bickebe99c,Bernie Bickerstaff,resigned,0,1,0,0,246,0.3130081300813008,1300,160.27279999999996,90.5275999999999,69.13249999999994,1460.2728,1344.4805939024384,1249.2513
bickejb01c_CLE_2020_2020,bickejb01c,J.B. Bickerstaff,active,0,1,0,0,11,0.45454545454545453,1275.84235803118,44.693876109139865,7.876437515919861,44.693876109139865,1322.72851002561,1301.1039386228529,1275.84235803118
bickejb01c_MEM_2018_2019,bickejb01c,J.B. Bickerstaff,fired,1,1,1,1,145,0.3310344827586207,1450.50097825295,-27.29263649123004,99.80744216514995,-11.324705780389877,1491.14108903549,1405.9935631563415,1287.29922933577
birdla01c_IND_1998_2000,birdla01c,Larry Bird,resigned,0,0,0,1,214,0.6869158878504673,1513.2952,107.73900000000003,-1.769800000000032,51.90610000000015,1676.5386,1621.2976808411213,1508.7954
blattda99c_CLE_2015_2016,blattda99c,David Blatt,fired,1,0,0,1,123,0.6747967479674797,1463.7213,198.38370782369998,34.165707823699904,23.36140274114996,1682.3467682776,1579.2605077876365,1431.6313
