coach.id,name,tenure.id,franchise.id,start.year,end.year,coach.wins,coach.losses,coach.games,tenure.slug,tenure.ending,interim.promoted
brownto01c,Tony Brown,73,NJN,2016,2016,11,34,45,brownto01c_NJN_2016_2016,interim only,
atkinke01c,Kenny Atkinson,74,NJN,2017,2020,118,190,308,atkinke01c_NJN_2017_2020,mutual consent,
vaughja01c,Jacque Vaughn,75,NJN,2020,2020,2,0,2,vaughja01c_NJN_2020_2020,,
silaspa01c,Paul Silas,373,NOH,1999,2003,208,155,363,silaspa01c_NOH_1999_2003,fired,
floydti99c,Tim Floyd,374,NOH,2004,2004,41,41,82,floydti99c_NOH_2004_2004,fired,
scottby01c,Byron Scott,375,NOH,2005,2010,203,216,419,scottby01c_NOH_2005_2010,fired,
bowerje99c,Jeff Bower,376,NOH,2010,2010,34,39,73,bowerje99c_NOH_2010_2010,interim only,
willimo01c,Monty Williams,377,NOH,2011,2015,173,221,394,willimo01c_NOH_2011_2015,fired,
gentral99c,Alvin Gentry,378,NOH,2016,2020,173,219,392,gentral99c_NOH_2016_2020,,
vanguje99c,Jeff Van Gundy,397,NYK,1996,2002,248,172,420,vanguje99c_NYK_1996_2002,resigned,
chanedo01c,Don Chaney,398,NYK,2002,2004,72,112,184,chanedo01c_NYK_2002_2004,fired,
willihe01c,Herb Williams,399,NYK,2004,2004,1,0,1,willihe01c_NYK_2004_2004,interim only,
wilkele01c,Lenny Wilkens,400,NYK,2004,2005,40,41,81,wilkele01c_NYK_2004_2005,resigned,
willihe01c,Herb Williams,401,NYK,2005,2005,16,27,43,willihe01c_NYK_2005_2005,interim only,
brownla01c,Larry Brown,402,NYK,2006,2006,23,59,82,brownla01c_NYK_2006_2006,fired,
thomais01c,Isiah Thomas,403,NYK,2007,2008,56,108,164,thomais01c_NYK_2007_2008,fired,
dantomi01c,Mike D'Antoni,404,NYK,2009,2012,121,167,288,dantomi01c_NYK_2009_2012,resigned,
woodsmi01c,Mike Woodson,405,NYK,2012,2014,109,79,188,woodsmi01c_NYK_2012_2014,fired,
