franchise.id,season,game.number,win.loss
ATL,2015,5,W
ATL,2015,6,W
ATL,2015,7,W
ATL,2015,8,W
ATL,2015,9,L
ATL,2015,10,L
ATL,2015,11,W
ATL,2015,12,W
ATL,2015,13,L
ATL,2015,14,W
ATL,2015,15,W
ATL,2015,16,W
ATL,2015,17,W
ATL,2015,18,W
ATL,2015,19,W
ATL,2015,20,W
ATL,2015,21,W
ATL,2015,22,W
ATL,2015,23,L
ATL,2015,24,W
ATL,2015,25,W
ATL,2015,26,W
ATL,2015,27,W
ATL,2015,28,W
ATL,2015,29,L
ATL,2015,30,W
ATL,2015,31,W
ATL,2015,32,W
ATL,2015,33,W
ATL,2015,34,W
ATL,2015,35,W
ATL,2015,36,W
ATL,2015,37,W
ATL,2015,38,W
ATL,2015,39,W
ATL,2015,40,W
ATL,2015,41,W
ATL,2015,42,W
ATL,2015,43,W
ATL,2015,44,W
ATL,2015,45,W
ATL,2015,46,W
ATL,2015,47,W
ATL,2015,48,W
ATL,2015,49,L
ATL,2015,50,W
ATL,2015,51,W
ATL,2015,52,L
ATL,2015,53,W
ATL,2015,54,L
ATL,2015,55,L
ATL,2015,56,W
ATL,2015,57,W
ATL,2015,58,W
ATL,2015,59,W
ATL,2015,60,W
ATL,2015,61,W
ATL,2015,62,L
ATL,2015,63,W
ATL,2015,64,L
ATL,2015,65,W
ATL,2015,66,W
ATL,2015,67,W
ATL,2015,68,L
ATL,2015,69,L
ATL,2015,70,L
ATL,2015,71,W
ATL,2015,72,W
ATL,2015,73,L
ATL,2015,74,W
ATL,2015,75,L
ATL,2015,76,W
ATL,2015,77,W
ATL,2015,78,W
ATL,2015,79,W
ATL,2015,80,L
ATL,2015,81,L
ATL,2015,82,L
ATL,2014,1,L
ATL,2014,2,W
ATL,2014,3,L
ATL,2014,4,W
ATL,2014,5,L
ATL,2014,6,W
ATL,2014,7,W
ATL,2014,8,L
ATL,2014,9,W
ATL,2014,10,W
ATL,2014,11,L
ATL,2014,12,W
ATL,2014,13,W
ATL,2014,14,L
ATL,2014,15,L
ATL,2014,16,L
ATL,2014,17,W
ATL,2014,18,L
ATL,2014,19,L
ATL,2014,20,W
ATL,2014,21,W
ATL,2014,22,L
ATL,2014,23,W
ATL,2014,24,L
ATL,2014,25,W
ATL,2014,26,W
ATL,2014,27,W
ATL,2014,28,L
ATL,2014,29,W
ATL,2014,30,W
ATL,2014,31,L
ATL,2014,32,W
ATL,2014,33,L
ATL,2014,34,L
ATL,2014,35,L
ATL,2014,36,W
ATL,2014,37,W
ATL,2014,38,L
ATL,2014,39,L
ATL,2014,40,W
ATL,2014,41,W
ATL,2014,42,L
ATL,2014,43,W
ATL,2014,44,L
ATL,2014,45,W
ATL,2014,46,W
ATL,2014,47,L
ATL,2014,48,L
ATL,2014,49,L
ATL,2014,50,L
ATL,2014,51,L
ATL,2014,52,L
ATL,2014,53,L
ATL,2014,54,L
ATL,2014,55,W
ATL,2014,56,L
ATL,2014,57,L
ATL,2014,58,L
ATL,2014,59,L
ATL,2014,60,L
ATL,2014,61,L
ATL,2014,62,W
ATL,2014,63,W
ATL,2014,64,W
ATL,2014,65,W
ATL,2014,66,W
ATL,2014,67,L
ATL,2014,68,L
ATL,2014,69,L
ATL,2014,70,L
ATL,2014,71,L
ATL,2014,72,L
ATL,2014,73,W
ATL,2014,74,L
ATL,2014,75,W
ATL,2014,76,W
ATL,2014,77,L
ATL,2014,78,W
ATL,2014,79,W
ATL,2014,80,W
ATL,2014,81,L
ATL,2014,82,W
ATL,2013,1,L
ATL,2013,2,W
ATL,2013,3,W
ATL,2013,4,L
ATL,2013,5,L
ATL,2013,6,W
ATL,2013,7,L
ATL,2013,8,W
ATL,2013,9,W
ATL,2013,10,W
ATL,2013,11,W
ATL,2013,12,W
ATL,2013,13,W
ATL,2013,14,L
ATL,2013,15,W
ATL,2013,16,W
ATL,2013,17,W
ATL,2013,18,L
ATL,2013,19,W
ATL,2013,20,W
ATL,2013,21,L
ATL,2013,22,W
ATL,2013,23,L
ATL,2013,24,L
ATL,2013,25,W
ATL,2013,26,W
ATL,2013,27,W
ATL,2013,28,W
ATL,2013,29,L
ATL,2013,30,W
ATL,2013,31,L
ATL,2013,32,L
ATL,2013,33,L
ATL,2013,34,L
ATL,2013,35,W
ATL,2013,36,L
ATL,2013,37,L
ATL,2013,38,W
ATL,2013,39,L
ATL,2013,40,L
ATL,2013,41,W
ATL,2013,42,W
ATL,2013,43,W
ATL,2013,44,L
ATL,2013,45,W
ATL,2013,46,L
ATL,2013,47,L
ATL,2013,48,W
ATL,2013,49,L
ATL,2013,50,W
ATL,2013,51,W
ATL,2013,52,L
ATL,2013,53,W
ATL,2013,54,W
ATL,2013,55,W
ATL,2013,56,W
ATL,2013,57,L
ATL,2013,58,L
ATL,2013,59,L
ATL,2013,60,W
ATL,2013,61,L
ATL,2013,62,L
ATL,2013,63,L
ATL,2013,64,W
ATL,2013,65,W
ATL,2013,66,W
ATL,2013,67,L
ATL,2013,68,W
ATL,2013,69,L
ATL,2013,70,W
ATL,2013,71,L
ATL,2013,72,W
ATL,2013,73,L
ATL,2013,74,W
ATL,2013,75,W
ATL,2013,76,L
ATL,2013,77,L
ATL,2013,78,L
ATL,2013,79,W
ATL,2013,80,W
ATL,2013,81,L
ATL,2013,82,L
ATL,2012,1,W
ATL,2012,2,W
ATL,2012,3,W
ATL,2012,4,L
ATL,2012,5,W
ATL,2012,6,L
ATL,2012,7,L
ATL,2012,8,W
ATL,2012,9,W
ATL,2012,10,W
ATL,2012,11,L
ATL,2012,12,W
ATL,2012,13,W
ATL,2012,14,W
ATL,2012,15,W
ATL,2012,16,L
ATL,2012,17,W
ATL,2012,18,W
ATL,2012,19,L
ATL,2012,20,W
ATL,2012,21,W
ATL,2012,22,W
ATL,2012,23,L
ATL,2012,24,L
ATL,2012,25,L
ATL,2012,26,W
ATL,2012,27,W
ATL,2012,28,L
ATL,2012,29,L
ATL,2012,30,W
ATL,2012,31,L
ATL,2012,32,L
ATL,2012,33,L
ATL,2012,34,W
ATL,2012,35,L
ATL,2012,36,W
ATL,2012,37,W
ATL,2012,38,W
ATL,2012,39,L
ATL,2012,40,L
ATL,2012,41,W
ATL,2012,42,L
ATL,2012,43,L
ATL,2012,44,W
ATL,2012,45,W
ATL,2012,46,L
ATL,2012,47,W
ATL,2012,48,W
ATL,2012,49,W
ATL,2012,50,W
ATL,2012,51,L
ATL,2012,52,L
ATL,2012,53,W
ATL,2012,54,L
ATL,2012,55,W
ATL,2012,56,W
ATL,2012,57,W
