franchise,team,season,game_num,date,result
ATL,ATL,2004,5,2003-11-05,L
ATL,ATL,2004,6,2003-11-08,L
ATL,ATL,2004,7,2003-11-09,W
ATL,ATL,2004,8,2003-11-11,L
ATL,ATL,2004,9,2003-11-12,W
ATL,ATL,2004,10,2003-11-15,L
ATL,ATL,2004,11,2003-11-17,L
ATL,ATL,2004,12,2003-11-18,W
ATL,ATL,2004,13,2003-11-21,L
ATL,ATL,2004,14,2003-11-22,W
ATL,ATL,2004,15,2003-11-24,L
ATL,ATL,2004,16,2003-11-26,L
ATL,ATL,2004,17,2003-11-28,W
ATL,ATL,2004,18,2003-11-29,L
ATL,ATL,2004,19,2003-12-02,L
ATL,ATL,2004,20,2003-12-05,L
ATL,ATL,2004,21,2003-12-06,L
ATL,ATL,2004,22,2003-12-09,W
ATL,ATL,2004,23,2003-12-10,L
ATL,ATL,2004,24,2003-12-12,L
ATL,ATL,2004,25,2003-12-13,L
ATL,ATL,2004,26,2003-12-16,L
ATL,ATL,2004,27,2003-12-17,L
ATL,ATL,2004,28,2003-12-19,L
ATL,ATL,2004,29,2003-12-20,L
ATL,ATL,2004,30,2003-12-23,W
ATL,ATL,2004,31,2003-12-26,L
ATL,ATL,2004,32,2003-12-27,L
ATL,ATL,2004,33,2003-12-30,W
ATL,ATL,2004,34,2004-01-02,L
ATL,ATL,2004,35,2004-01-03,W
ATL,ATL,2004,36,2004-01-06,L
ATL,ATL,2004,37,2004-01-09,L
ATL,ATL,2004,38,2004-01-10,L
ATL,ATL,2004,39,2004-01-13,W
ATL,ATL,2004,40,2004-01-14,L
ATL,ATL,2004,41,2004-01-17,W
ATL,ATL,2004,42,2004-01-19,L
ATL,ATL,2004,43,2004-01-21,W
ATL,ATL,2004,44,2004-01-23,L
ATL,ATL,2004,45,2004-01-25,W
ATL,ATL,2004,46,2004-01-27,L
ATL,ATL,2004,47,2004-01-29,L
ATL,ATL,2004,48,2004-01-31,W
ATL,ATL,2004,49,2004-02-02,L
ATL,ATL,2004,50,2004-02-04,W
ATL,ATL,2004,51,2004-02-06,W
ATL,ATL,2004,52,2004-02-07,L
ATL,ATL,2004,53,2004-02-09,W
ATL,ATL,2004,54,2004-02-18,L
ATL,ATL,2004,55,2004-02-20,L
ATL,ATL,2004,56,2004-02-22,L
ATL,ATL,2004,57,2004-02-24,W
ATL,ATL,2004,58,2004-02-27,L
ATL,ATL,2004,59,2004-02-28,L
ATL,ATL,2004,60,2004-03-02,W
ATL,ATL,2004,61,2004-03-03,L
ATL,ATL,2004,62,2004-03-05,L
ATL,ATL,2004,63,2004-03-08,L
ATL,ATL,2004,64,2004-03-10,L
ATL,ATL,2004,65,2004-03-12,W
ATL,ATL,2004,66,2004-03-14,L
ATL,ATL,2004,67,2004-03-16,L
ATL,ATL,2004,68,2004-03-17,W
ATL,ATL,2004,69,2004-03-19,L
ATL,ATL,2004,70,2004-03-20,L
ATL,ATL,2004,71,2004-03-22,L
ATL,ATL,2004,72,2004-03-25,W
ATL,ATL,2004,73,2004-03-27,W
ATL,ATL,2004,74,2004-03-29,L
