franchise,team,year,coaches_text,name,wins,losses,total_games,order
NYK,NYK,2012,"M. D'Antoni (18-24), M. Woodson (18-6)",M. D'Antoni,18,24,42,1
NYK,NYK,2011,M. D'Antoni (42-40),M. D'Antoni,42,40,82,1
NYK,NYK,2010,M. D'Antoni (29-53),M. D'Antoni,29,53,82,1
NYK,NYK,2009,M. D'Antoni (32-50),M. D'Antoni,32,50,82,1
NYK,NYK,2008,I. Thomas (23-59),I. Thomas,23,59,82,1
NYK,NYK,2007,I. Thomas (33-49),I. Thomas,33,49,82,1
NYK,NYK,2006,L. Brown (23-59),L. Brown,23,59,82,1
NYK,NYK,2005,"L. Wilkens (17-22), H. Williams (16-27)",H. Williams,16,27,43,2
NYK,NYK,2005,"L. Wilkens (17-22), H. Williams (16-27)",L. Wilkens,17,22,39,1
NYK,NYK,2004,"D. Chaney (15-24), H. Williams (1-0), L. Wilkens (23-19)",L. Wilkens,23,19,42,3
NYK,NYK,2004,"D. Chaney (15-24), H. Williams (1-0), L. Wilkens (23-19)",H. Williams,1,0,1,2
NYK,NYK,2004,"D. Chaney (15-24), H. Williams (1-0), L. Wilkens (23-19)",D. Chaney,15,24,39,1
NYK,NYK,2003,D. Chaney (37-45),D. Chaney,37,45,82,1
NYK,NYK,2002,"J. Van Gundy (10-9), D. Chaney (20-43)",D. Chaney,20,43,63,2
NYK,NYK,2002,"J. Van Gundy (10-9), D. Chaney (20-43)",J. Van Gundy,10,9,19,1
NYK,NYK,2001,J. Van Gundy (48-34),J. Van Gundy,48,34,82,1
SEAOKC,OKC,2017,B. Donovan (47-35),B. Donovan,47,35,82,1
SEAOKC,OKC,2016,B. Donovan (55-27),B. Donovan,55,27,82,1
SEAOKC,OKC,2015,S. Brooks (45-37),S. Brooks,45,37,82,1
SEAOKC,OKC,2014,S. Brooks (59-23),S. Brooks,59,23,82,1
SEAOKC,OKC,2013,S. Brooks (60-22),S. Brooks,60,22,82,1
SEAOKC,OKC,2012,S. Brooks (47-19),S. Brooks,47,19,66,1
SEAOKC,OKC,2011,S. Brooks (55-27),S. Brooks,55,27,82,1
SEAOKC,OKC,2010,S. Brooks (50-32),S. Brooks,50,32,82,1
SEAOKC,OKC,2009,"P. Carlesimo (1-12), S. Brooks (22-47)",S. Brooks,22,47,69,2
SEAOKC,OKC,2009,"P. Carlesimo (1-12), S. Brooks (22-47)",P. Carlesimo,1,12,13,1
