slug,coach,franchise,seasons,games,wins,losses,min_year,max_year,left_truncated,ending
collins|11|13|PHI,D. Collins,PHI,3,230,110,120,2011,2013,False,resigned
brown|14|17|PHI,B. Brown,PHI,4,328,75,253,2014,2017,False,
skiles|01|02|PHO,S. Skiles,PHO,2,133,76,57,2001,2002,True,resigned
johnson|02|04|PHO,F. Johnson,PHO,3,134,63,71,2002,2004,False,fired
d'antoni|04|08|PHO,M. D'Antoni,PHO,5,389,253,136,2004,2008,False,resigned
porter|09|09|PHO,T. Porter,PHO,1,51,28,23,2009,2009,False,fired
gentry|09|13|PHO,A. Gentry,PHO,5,302,158,144,2009,2013,False,fired
hunter|13|13|PHO,L. Hunter,PHO,1,41,12,29,2013,2013,False,interim only
hornacek|14|16|PHO,J. Hornacek,PHO,3,213,101,112,2014,2016,False,fired
watson|16|17|PHO,E. Watson,PHO,2,115,33,82,2016,2017,False,
dunleavy|01|01|POR,M. Dunleavy,POR,1,82,50,32,2001,2001,True,fired
cheeks|02|05|POR,M. Cheeks,POR,4,301,162,139,2002,2005,False,fired
pritchard|05|05|POR,K. Pritchard,POR,1,27,5,22,2005,2005,False,interim only
mcmillan|06|12|POR,N. McMillan,POR,7,535,266,269,2006,2012,False,fired
canales|12|12|POR,K. Canales,POR,1,23,8,15,2012,2012,False,interim only
stotts|13|17|POR,T. Stotts,POR,5,410,223,187,2013,2017,False,
adelman|01|06|SAC,R. Adelman,SAC,6,492,324,168,2001,2006,True,fired
musselman|07|07|SAC,E. Musselman,SAC,1,82,33,49,2007,2007,False,fired
theus|08|09|SAC,R. Theus,SAC,2,106,44,62,2008,2009,False,fired
natt|09|09|SAC,K. Natt,SAC,1,58,11,47,2009,2009,False,interim only
westphal|10|12|SAC,P. Westphal,SAC,3,171,51,120,2010,2012,False,fired
smart|12|13|SAC,K. Smart,SAC,2,141,48,93,2012,2013,False,fired
malone|14|15|SAC,M. Malone,SAC,2,106,39,67,2014,2015,False,fired
corbin|15|15|SAC,T. Corbin,SAC,1,28,7,21,2015,2015,False,fired
karl|15|16|SAC,G. Karl,SAC,2,112,44,68,2015,2016,False,fired
joerger|17|17|SAC,D. Joerger,SAC,1,82,32,50,2017,2017,False,
