team,year,coaches_text
baylor,1985,Grant Teaff (9-3)
baylor,1984,Grant Teaff (5-6)
baylor,1983,Grant Teaff (7-4-1)
baylor,1982,Grant Teaff (4-6-1)
baylor,1981,Grant Teaff (5-6)
baylor,1980,Grant Teaff (10-2)
baylor,1979,Grant Teaff (8-4)
baylor,1978,Grant Teaff (3-8)
baylor,1977,Grant Teaff (5-6)
baylor,1976,Grant Teaff (7-3-1)
baylor,1975,Grant Teaff (3-6-2)
baylor,1974,Grant Teaff (8-4)
baylor,1973,Grant Teaff (2-9)
baylor,1972,Grant Teaff (5-6)
baylor,1971,Bill Beall (1-9)
baylor,1970,Bill Beall (2-9)
baylor,1969,Bill Beall (0-10)
baylor,1968,John Bridgers (3-7)
baylor,1967,John Bridgers (1-8-1)
baylor,1966,John Bridgers (5-5)
baylor,1965,John Bridgers (5-5)
baylor,1964,John Bridgers (5-5)
baylor,1963,John Bridgers (8-3)
baylor,1962,John Bridgers (4-6)
baylor,1961,John Bridgers (6-5)
baylor,1960,John Bridgers (8-3)
baylor,1959,John Bridgers (4-6)
baylor,1958,Sam Boyd (3-7)
baylor,1957,Sam Boyd (3-6-1)
baylor,1956,Sam Boyd (9-2)
baylor,1955,George Sauer (5-5)
baylor,1954,George Sauer (7-4)
baylor,1953,George Sauer (7-3)
baylor,1952,George Sauer (4-4-2)
baylor,1951,George Sauer (8-2-1)
baylor,1950,George Sauer (7-3)
baylor,1949,Bob Woodruff (8-2)
baylor,1948,Bob Woodruff (6-3-2)
baylor,1947,Bob Woodruff (5-5)
baylor,1946,Frank Kimbrough (1-8)
baylor,1945,Frank Kimbrough (5-5-1)
baylor,1942,Frank Kimbrough (6-4-1)
baylor,1941,Frank Kimbrough (3-6-1)
baylor,1940,Morley Jennings (4-6)
baylor,1939,Morley Jennings (7-3)
baylor,1938,Morley Jennings (7-2-1)
baylor,1937,Morley Jennings (7-3)
baylor,1936,Morley Jennings (6-3-1)
baylor,1935,Morley Jennings (8-3)
baylor,1934,Morley Jennings (3-7)
baylor,1933,Morley Jennings (6-4)
baylor,1932,Morley Jennings (3-5-1)
baylor,1931,Morley Jennings (3-6)
baylor,1930,Morley Jennings (6-3-1)
baylor,1929,Morley Jennings (7-3-1)
baylor,1928,Morley Jennings (8-2)
baylor,1927,Morley Jennings (2-7)
baylor,1926,Morley Jennings (6-3-1)
baylor,1925,Frank Bridges (3-5-2)
baylor,1924,Frank Bridges (7-2-1)
baylor,1923,Frank Bridges (5-1-2)
baylor,1922,Frank Bridges (8-3)
baylor,1921,Frank Bridges (8-3)
baylor,1920,Frank Bridges (4-4-1)
baylor,1919,Bubs Mosley (5-3-1)
baylor,1918,Bubs Mosley (0-6)
baylor,1917,Bubs Mosley (6-2-1)
baylor,1916,Bubs Mosley (9-1)
baylor,1915,Bubs Mosley (7-1)
baylor,1914,Bubs Mosley (3-5-2)
baylor,1913,Norman Payne (3-4-3)
baylor,1912,Ralph Glaze (3-5)
baylor,1911,Ralph Glaze (3-4-2)
baylor,1910,Ralph Glaze (6-1-1)
baylor,1909,Enoch Mills (5-3)
baylor,1908,Enoch Mills (3-5)
baylor,1907,Luther Burleson (4-3-1)
baylor,1905,Archie Webb (1-6)
baylor,1904,Sol Metzger (2-5-1)
baylor,1903,R.N. Watts (4-3-1)
boston-college,2017,Steve Addazio (2-4)
boston-college,2016,Steve Addazio (7-6)
boston-college,2015,Steve Addazio (3-9)
boston-college,2014,Steve Addazio (7-6)
boston-college,2013,Steve Addazio (7-6)
boston-college,2012,Frank Spaziani (2-10)
boston-college,2011,Frank Spaziani (4-8)
boston-college,2010,Frank Spaziani (7-6)
boston-college,2009,Frank Spaziani (8-5)
boston-college,2008,Jeff Jagodzinski (9-5)
boston-college,2007,Jeff Jagodzinski (11-3)
boston-college,2006,"Tom O'Brien (9-3), Frank Spaziani (1-0)"
boston-college,2005,Tom O'Brien (9-3)
boston-college,2004,Tom O'Brien (9-3)
boston-college,2003,Tom O'Brien (8-5)
boston-college,2002,Tom O'Brien (9-4)
boston-college,2001,Tom O'Brien (8-4)
boston-college,2000,Tom O'Brien (7-5)
boston-college,1999,Tom O'Brien (8-4)
boston-college,1998,Tom O'Brien (4-7)
boston-college,1997,Tom O'Brien (4-7)
boston-college,1996,Dan Henning (5-7)
boston-college,1995,Dan Henning (4-8)
boston-college,1994,Dan Henning (7-4-1)
boston-college,1993,Tom Coughlin (9-3)
boston-college,1992,Tom Coughlin (8-3-1)
boston-college,1991,Tom Coughlin (4-7)
boston-college,1990,Jack Bicknell (4-7)
boston-college,1989,Jack Bicknell (2-9)
boston-college,1988,Jack Bicknell (3-8)
boston-college,1987,Jack Bicknell (5-6)
boston-college,1986,Jack Bicknell (9-3)
boston-college,1985,Jack Bicknell (4-8)
boston-college,1984,Jack Bicknell (10-2)
boston-college,1983,Jack Bicknell (9-3)
boston-college,1982,Jack Bicknell (8-3-1)
