team,year,coaches_text,name,wins,losses,total_games,order,correct_order
north-carolina,2003,John Bunting (2-10),John Bunting,2,10,12,1,
north-carolina,2002,John Bunting (3-9),John Bunting,3,9,12,1,
north-carolina,2001,John Bunting (8-5),John Bunting,8,5,13,1,
north-carolina,2000,Carl Torbush (6-5),Carl Torbush,6,5,11,1,
north-carolina-state,2016,Dave Doeren (7-6),Dave Doeren,7,6,13,1,
north-carolina-state,2015,Dave Doeren (7-6),Dave Doeren,7,6,13,1,
north-carolina-state,2014,Dave Doeren (8-5),Dave Doeren,8,5,13,1,
north-carolina-state,2013,Dave Doeren (3-9),Dave Doeren,3,9,12,1,
north-carolina-state,2012,"Tom O'Brien (7-5), Dana Bible (0-1)",Dana Bible,0,1,1,2,
north-carolina-state,2012,"Tom O'Brien (7-5), Dana Bible (0-1)",Tom O'Brien,7,5,12,1,
north-carolina-state,2011,Tom O'Brien (8-5),Tom O'Brien,8,5,13,1,
north-carolina-state,2010,Tom O'Brien (9-4),Tom O'Brien,9,4,13,1,
north-carolina-state,2009,Tom O'Brien (5-7),Tom O'Brien,5,7,12,1,
north-carolina-state,2008,Tom O'Brien (6-7),Tom O'Brien,6,7,13,1,
north-carolina-state,2007,Tom O'Brien (5-7),Tom O'Brien,5,7,12,1,
north-carolina-state,2006,Chuck Amato (3-9),Chuck Amato,3,9,12,1,
north-carolina-state,2005,Chuck Amato (7-5),Chuck Amato,7,5,12,1,
north-carolina-state,2004,Chuck Amato (5-6),Chuck Amato,5,6,11,1,
north-carolina-state,2003,Chuck Amato (8-5),Chuck Amato,8,5,13,1,
north-carolina-state,2002,Chuck Amato (11-3),Chuck Amato,11,3,14,1,
north-carolina-state,2001,Chuck Amato (7-5),Chuck Amato,7,5,12,1,
north-carolina-state,2000,Chuck Amato (8-4),Chuck Amato,8,4,12,1,
northwestern,2016,Pat Fitzgerald (7-6),Pat Fitzgerald,7,6,13,1,
northwestern,2015,Pat Fitzgerald (10-3),Pat Fitzgerald,10,3,13,1,
northwestern,2014,Pat Fitzgerald (5-7),Pat Fitzgerald,5,7,12,1,
northwestern,2013,Pat Fitzgerald (5-7),Pat Fitzgerald,5,7,12,1,
northwestern,2012,Pat Fitzgerald (10-3),Pat Fitzgerald,10,3,13,1,
northwestern,2011,Pat Fitzgerald (6-7),Pat Fitzgerald,6,7,13,1,
northwestern,2010,Pat Fitzgerald (7-6),Pat Fitzgerald,7,6,13,1,
northwestern,2009,Pat Fitzgerald (8-5),Pat Fitzgerald,8,5,13,1,
northwestern,2008,Pat Fitzgerald (9-4),Pat Fitzgerald,9,4,13,1,
northwestern,2007,Pat Fitzgerald (6-6),Pat Fitzgerald,6,6,12,1,
northwestern,2006,Pat Fitzgerald (4-8),Pat Fitzgerald,4,8,12,1,
northwestern,2005,Randy Walker (7-5),Randy Walker,7,5,12,1,
northwestern,2004,Randy Walker (6-6),Randy Walker,6,6,12,1,
northwestern,2003,Randy Walker (6-7),Randy Walker,6,7,13,1,
northwestern,2002,Randy Walker (3-9),Randy Walker,3,9,12,1,
northwestern,2001,Randy Walker (4-7),Randy Walker,4,7,11,1,
northwestern,2000,Randy Walker (8-4),Randy Walker,8,4,12,1,
notre-dame,2016,Brian Kelly (4-8),Brian Kelly,4,8,12,1,
notre-dame,2015,Brian Kelly (10-3),Brian Kelly,10,3,13,1,
notre-dame,2014,Brian Kelly (8-5),Brian Kelly,8,5,13,1,
notre-dame,2013,Brian Kelly (9-4),Brian Kelly,9,4,13,1,
notre-dame,2012,Brian Kelly (12-1),Brian Kelly,12,1,13,1,
notre-dame,2011,Brian Kelly (8-5),Brian Kelly,8,5,13,1,
notre-dame,2010,Brian Kelly (8-5),Brian Kelly,8,5,13,1,
notre-dame,2009,Charlie Weis (6-6),Charlie Weis,6,6,12,1,
notre-dame,2008,Charlie Weis (7-6),Charlie Weis,7,6,13,1,
notre-dame,2007,Charlie Weis (3-9),Charlie Weis,3,9,12,1,
notre-dame,2006,Charlie Weis (10-3),Charlie Weis,10,3,13,1,
notre-dame,2005,Charlie Weis (9-3),Charlie Weis,9,3,12,1,
