slug|team|category|conf
indiana-state|Indiana State||
iowa|Iowa|major|big
iowa-pre-flight|Iowa Pre-Flight||
iowa-state|Iowa State|major|b12
jackson-state|Jackson State||
jacksonville-naval-air-station|Jacksonville Naval Air Station||
kansas|Kansas|major|b12
kansas-state|Kansas State|major|b12
kent-state|Kent State||
kentucky|Kentucky|major|sec
knox|Knox||
lafayette|Lafayette||
lake-forest|Lake Forest||
lamar|Lamar||
lawrence|Lawrence||
lehigh|Lehigh||
lombard|Lombard||
long-beach-state|Long Beach State||
louisiana-tech|Louisiana Tech||
louisiana-lafayette|Louisiana-Lafayette||
louisiana-monroe|Louisiana-Monroe||
louisville|Louisville|major|acc
loyola-la|Loyola (LA)||
loyola-marymount|Loyola Marymount||
louisiana-state|LSU|major|sec
lubbock-field|Lubbock Field||
maine|Maine||
manhattan|Manhattan||
march-field|March Field||
mare-island-marines|Mare Island Marines||
marquette|Marquette||
marshall|Marshall||
maryland|Maryland|major|big
maryville-tn|Maryville (TN)||
massachusetts|Massachusetts||
mcneese-state|McNeese State||
memphis|Memphis||
mercer|Mercer||
merchant-marine|Merchant Marine||
miami-fl|Miami (FL)|major|acc
miami-oh|Miami (OH)||
michigan|Michigan|major|big
michigan-state|Michigan State|major|big
middle-tennessee-state|Middle Tennessee State||
millsaps|Millsaps||
minnesota|Minnesota|major|big
mississippi-college|Mississippi College||
mississippi-state|Mississippi State|major|sec
mississippi-valley-state|Mississippi Valley State||
missouri|Missouri|major|sec
mit|MIT||
montana|Montana||
montana-state|Montana State||
nashville|Nashville||
navy|Navy||
nebraska|Nebraska|major|big
nevada|Nevada||
nevada-las-vegas|Nevada-Las Vegas||
new-hampshire|New Hampshire||
new-mexico|New Mexico||
new-mexico-state|New Mexico State||
new-york-university|New York University||
newberry|Newberry||
norman-naval-air-station|Norman Naval Air Station||
north-carolina|North Carolina|major|acc
north-carolina-pre-flight|North Carolina Pre-Flight||
north-carolina-state|North Carolina State|major|acc
north-texas|North Texas||
northern-arizona|Northern Arizona||
northern-colorado|Northern Colorado||
northern-illinois|Northern Illinois||
northwestern|Northwestern|major|big
northwestern-state|Northwestern State||
notre-dame|Notre Dame|major|ind
oglethorpe|Oglethorpe||
ohio|Ohio||
ohio-state|Ohio State|major|big
oklahoma|Oklahoma|major|b12
oklahoma-state|Oklahoma State|major|b12
old-dominion|Old Dominion||
mississippi|Ole Miss|major|sec
oregon|Oregon|major|pac
oregon-state|Oregon State|major|pac
pacific|Pacific||
penn-state|Penn State|major|big
pennsylvania|Pennsylvania||
phillips|Phillips||
pittsburgh|Pitt|major|acc
portland|Portland||
prairie-view-am|Prairie View A&amp;M||
presbyterian|Presbyterian||
princeton|Princeton||
purdue|Purdue|major|big
quantico-marines|Quantico Marines||
randolph-field|Randolph Field||
regis-co|Regis (CO)||
rhodes|Rhodes||
rice|Rice||
richmond|Richmond||
rutgers|Rutgers|major|big
saint-louis|Saint Louis||
saint-marys-ca|Saint Mary's (CA)||
saint-marys-ca-pre-flight|Saint Mary's (CA) Pre-Flight||
samford|Samford||
san-diego-state|San Diego State||
san-francisco|San Francisco||
san-jose-state|San Jose State||
santa-clara|Santa Clara||
second-air-force|Second Air Force||
sewanee|Sewanee||
simpson|Simpson||
southern-methodist|SMU||
south-alabama|South Alabama||
south-carolina|South Carolina|major|sec
south-florida|South Florida||
southern|Southern||
southern-illinois|Southern Illinois||
southern-mississippi|Southern Mississippi||
southwestern-tx|Southwestern (TX)||
spring-hill|Spring Hill||
springfield|Springfield||
stanford|Stanford|major|pac
stevens|Stevens||
swarthmore|Swarthmore||
syracuse|Syracuse|major|acc
tampa|Tampa||
temple|Temple||
tennessee|Tennessee|major|sec
tennessee-medical-college|Tennessee Medical College||
tennessee-state|Tennessee State||
texas|Texas|major|b12
texas-am|Texas A&amp;M|major|sec
texas-christian|Texas Christian|major|b12
texas-southern|Texas Southern||
texas-state|Texas State||
texas-tech|Texas Tech|major|b12
texas-arlington|Texas-Arlington||
toledo|Toledo||
trinity-ct|Trinity (CT)||
troy|Troy||
tufts|Tufts||
tulane|Tulane||
tulsa|Tulsa||
alabama-birmingham|UAB||
central-florida|UCF||
ucla|UCLA|major|pac
union-ny|Union (NY)||
southern-california|USC|major|pac
utah|Utah|major|pac
utah-state|Utah State||
texas-el-paso|UTEP||
texas-san-antonio|UTSA||
vanderbilt|Vanderbilt|major|sec
vermont|Vermont||
villanova|Villanova||
virginia|Virginia|major|acc
virginia-military-institute|Virginia Military Institute||
virginia-tech|Virginia Tech|major|acc
wabash|Wabash||
wake-forest|Wake Forest|major|acc
washburn|Washburn||
washington|Washington|major|pac
washington-jefferson|Washington &amp; Jefferson||
washington-lee|Washington &amp; Lee||
washington-mo|Washington (MO)||
washington-state|Washington State|major|pac
wesleyan-ct|Wesleyan (CT)||
west-texas-am|West Texas A&amp;M||
west-virginia|West Virginia|major|b12
west-virginia-wesleyan|West Virginia Wesleyan||
western-carolina|Western Carolina||
western-kentucky|Western Kentucky||
western-michigan|Western Michigan||
western-state|Western State||
whitman|Whitman||
wichita-state|Wichita State||
william-mary|William &amp; Mary||
williams|Williams||
wisconsin|Wisconsin|major|big
wofford|Wofford||
wpi|WPI||
wyoming|Wyoming||
xavier|Xavier||
yale|Yale||
