franchise,team,year,coaches_text
NYK,NYK,1993,P. Riley (60-22)
NYK,NYK,1992,P. Riley (51-31)
NYK,NYK,1991,"S. Jackson (7-8), J. MacLeod (32-35)"
NYK,NYK,1990,S. Jackson (45-37)
NYK,NYK,1989,R. Pitino (52-30)
NYK,NYK,1988,R. Pitino (38-44)
NYK,NYK,1987,"H. Brown (4-12), B. Hill (20-46)"
NYK,NYK,1986,H. Brown (23-59)
NYK,NYK,1985,H. Brown (24-58)
NYK,NYK,1984,H. Brown (47-35)
NYK,NYK,1983,H. Brown (44-38)
NYK,NYK,1982,R. Holzman (33-49)
NYK,NYK,1981,R. Holzman (50-32)
NYK,NYK,1980,R. Holzman (39-43)
NYK,NYK,1979,"W. Reed (6-8), R. Holzman (25-43)"
NYK,NYK,1978,W. Reed (43-39)
NYK,NYK,1977,R. Holzman (40-42)
NYK,NYK,1976,R. Holzman (38-44)
NYK,NYK,1975,R. Holzman (40-42)
NYK,NYK,1974,R. Holzman (49-33)
NYK,NYK,1973,R. Holzman (57-25)
NYK,NYK,1972,R. Holzman (48-34)
NYK,NYK,1971,R. Holzman (52-30)
NYK,NYK,1970,R. Holzman (60-22)
NYK,NYK,1969,R. Holzman (54-28)
NYK,NYK,1968,"D. McGuire (15-23), R. Holzman (28-16)"
NYK,NYK,1967,D. McGuire (36-45)
NYK,NYK,1966,"H. Gallatin (6-15), D. McGuire (24-35)"
NYK,NYK,1965,"E. Donovan (12-26), H. Gallatin (19-23)"
NYK,NYK,1964,E. Donovan (22-58)
NYK,NYK,1963,E. Donovan (21-59)
NYK,NYK,1962,E. Donovan (29-51)
NYK,NYK,1961,C. Braun (21-58)
NYK,NYK,1960,"A. Levane (8-19), C. Braun (19-29)"
NYK,NYK,1959,A. Levane (40-32)
NYK,NYK,1958,V. Boryla (35-37)
NYK,NYK,1957,V. Boryla (36-36)
NYK,NYK,1956,"J. Lapchick (26-25), V. Boryla (9-12)"
NYK,NYK,1955,J. Lapchick (38-34)
NYK,NYK,1954,J. Lapchick (44-28)
NYK,NYK,1953,J. Lapchick (47-23)
NYK,NYK,1952,J. Lapchick (37-29)
NYK,NYK,1951,J. Lapchick (36-30)
NYK,NYK,1950,J. Lapchick (40-28)
NYK,NYK,1949,J. Lapchick (32-28)
NYK,NYK,1948,J. Lapchick (26-22)
NYK,NYK,1947,N. Cohalan (33-27)
SEAOKC,OKC,2018,B. Donovan (4-7)
SEAOKC,OKC,2017,B. Donovan (47-35)
SEAOKC,OKC,2016,B. Donovan (55-27)
SEAOKC,OKC,2015,S. Brooks (45-37)
SEAOKC,OKC,2014,S. Brooks (59-23)
SEAOKC,OKC,2013,S. Brooks (60-22)
SEAOKC,OKC,2012,S. Brooks (47-19)
SEAOKC,OKC,2011,S. Brooks (55-27)
SEAOKC,OKC,2010,S. Brooks (50-32)
SEAOKC,OKC,2009,"P. Carlesimo (1-12), S. Brooks (22-47)"
SEAOKC,SEA,2008,P. Carlesimo (20-62)
SEAOKC,SEA,2007,B. Hill (31-51)
SEAOKC,SEA,2006,"B. Weiss (13-17), B. Hill (22-30)"
SEAOKC,SEA,2005,N. McMillan (52-30)
SEAOKC,SEA,2004,N. McMillan (37-45)
SEAOKC,SEA,2003,N. McMillan (40-42)
SEAOKC,SEA,2002,N. McMillan (45-37)
SEAOKC,SEA,2001,"P. Westphal (6-9), N. McMillan (38-29)"
SEAOKC,SEA,2000,P. Westphal (45-37)
SEAOKC,SEA,1999,P. Westphal (25-25)
SEAOKC,SEA,1998,G. Karl (61-21)
SEAOKC,SEA,1997,G. Karl (57-25)
SEAOKC,SEA,1996,G. Karl (64-18)
SEAOKC,SEA,1995,G. Karl (57-25)
SEAOKC,SEA,1994,G. Karl (63-19)
SEAOKC,SEA,1993,G. Karl (55-27)
SEAOKC,SEA,1992,"K. Jones (18-18), B. Kloppenburg (2-2), G. Karl (27-15)"
SEAOKC,SEA,1991,K. Jones (41-41)
SEAOKC,SEA,1990,B. Bickerstaff (41-41)
SEAOKC,SEA,1989,B. Bickerstaff (47-35)
SEAOKC,SEA,1988,B. Bickerstaff (44-38)
SEAOKC,SEA,1987,B. Bickerstaff (39-43)
SEAOKC,SEA,1986,B. Bickerstaff (31-51)
SEAOKC,SEA,1985,L. Wilkens (31-51)
SEAOKC,SEA,1984,L. Wilkens (42-40)
SEAOKC,SEA,1983,L. Wilkens (48-34)
SEAOKC,SEA,1982,L. Wilkens (52-30)
SEAOKC,SEA,1981,L. Wilkens (34-48)
SEAOKC,SEA,1980,L. Wilkens (56-26)
SEAOKC,SEA,1979,L. Wilkens (52-30)
SEAOKC,SEA,1978,"B. Hopkins (5-17), L. Wilkens (42-18)"
SEAOKC,SEA,1977,B. Russell (40-42)
SEAOKC,SEA,1976,B. Russell (43-39)
SEAOKC,SEA,1975,B. Russell (43-39)
SEAOKC,SEA,1974,B. Russell (36-46)
SEAOKC,SEA,1973,"T. Nissalke (13-32), B. Buckwalter (13-24)"
SEAOKC,SEA,1972,L. Wilkens (47-35)
SEAOKC,SEA,1971,L. Wilkens (38-44)
SEAOKC,SEA,1970,L. Wilkens (36-46)
SEAOKC,SEA,1969,A. Bianchi (30-52)
SEAOKC,SEA,1968,A. Bianchi (23-59)
ORL,ORL,2018,F. Vogel (7-4)
ORL,ORL,2017,F. Vogel (29-53)
ORL,ORL,2016,S. Skiles (35-47)
ORL,ORL,2015,"J. Vaughn (15-37), J. Borrego (10-20)"
ORL,ORL,2014,J. Vaughn (23-59)
ORL,ORL,2013,J. Vaughn (20-62)
ORL,ORL,2012,S. Van Gundy (37-29)
ORL,ORL,2011,S. Van Gundy (52-30)
ORL,ORL,2010,S. Van Gundy (59-23)
ORL,ORL,2009,S. Van Gundy (59-23)
ORL,ORL,2008,S. Van Gundy (52-30)
ORL,ORL,2007,B. Hill (40-42)
ORL,ORL,2006,B. Hill (36-46)
ORL,ORL,2005,"J. Davis (31-33), C. Jent (5-13)"
ORL,ORL,2004,"D. Rivers (1-10), J. Davis (20-51)"
ORL,ORL,2003,D. Rivers (42-40)
ORL,ORL,2002,D. Rivers (44-38)
ORL,ORL,2001,D. Rivers (43-39)
ORL,ORL,2000,D. Rivers (41-41)
ORL,ORL,1999,C. Daly (33-17)
ORL,ORL,1998,C. Daly (41-41)
ORL,ORL,1997,"B. Hill (24-25), R. Adubato (21-12)"
ORL,ORL,1996,B. Hill (60-22)
ORL,ORL,1995,B. Hill (57-25)
ORL,ORL,1994,B. Hill (50-32)
ORL,ORL,1993,M. Guokas (41-41)
ORL,ORL,1992,M. Guokas (21-61)
ORL,ORL,1991,M. Guokas (31-51)
ORL,ORL,1990,M. Guokas (18-64)
PHI,PHI,2018,B. Brown (6-5)
PHI,PHI,2017,B. Brown (28-54)
PHI,PHI,2016,B. Brown (10-72)
PHI,PHI,2015,B. Brown (18-64)
PHI,PHI,2014,B. Brown (19-63)
PHI,PHI,2013,D. Collins (34-48)
PHI,PHI,2012,D. Collins (35-31)
PHI,PHI,2011,D. Collins (41-41)
PHI,PHI,2010,E. Jordan (27-55)
PHI,PHI,2009,"M. Cheeks (9-14), T. DiLeo (32-27)"
PHI,PHI,2008,M. Cheeks (40-42)
PHI,PHI,2007,M. Cheeks (35-47)
PHI,PHI,2006,M. Cheeks (38-44)
PHI,PHI,2005,J. O'Brien (43-39)
PHI,PHI,2004,"R. Ayers (21-31), C. Ford (12-18)"
PHI,PHI,2003,L. Brown (48-34)
